depth,height,width,yaw,pitch,roll,taper_width,taper_height,chromosome,fitness
60,60,60,0,0,1.0,0,0,"[60, 60, 60, 0, 0, 1.0, 0, 0]",107.12044365176135
60,60,60,0,0,2.79,0,0,"[60, 60, 60, 0, 0, 2.79, 0, 0]",107.09129804280492
60,60,60,0,0,4.58,0,0,"[60, 60, 60, 0, 0, 4.58, 0, 0]",107.06175768852944
60,60,60,0,0,6.37,0,0,"[60, 60, 60, 0, 0, 6.37, 0, 0]",107.03704122561659
60,60,60,0,0,8.16,0,0,"[60, 60, 60, 0, 0, 8.16, 0, 0]",107.12204697442314
60,60,60,0,0,9.95,0,0,"[60, 60, 60, 0, 0, 9.95, 0, 0]",107.09256297422927
60,60,60,0,0,11.74,0,0,"[60, 60, 60, 0, 0, 11.74, 0, 0]",107.05433466618811
60,60,60,0,0,13.530000000000001,0,0,"[60, 60, 60, 0, 0, 13.530000000000001, 0, 0]",107.01087599794593
60,60,60,0,0,15.32,0,0,"[60, 60, 60, 0, 0, 15.32, 0, 0]",107.08676761091007
60,60,60,0,0,17.11,0,0,"[60, 60, 60, 0, 0, 17.11, 0, 0]",107.09565365811055
60,60,60,0,0,18.9,0,0,"[60, 60, 60, 0, 0, 18.9, 0, 0]",107.10608615426885
60,60,60,0,0,20.69,0,0,"[60, 60, 60, 0, 0, 20.69, 0, 0]",107.0947416062887
60,60,60,0,0,22.48,0,0,"[60, 60, 60, 0, 0, 22.48, 0, 0]",107.0342081310381
60,60,60,0,0,24.27,0,0,"[60, 60, 60, 0, 0, 24.27, 0, 0]",107.09063253930869
60,60,60,0,0,26.060000000000002,0,0,"[60, 60, 60, 0, 0, 26.060000000000002, 0, 0]",107.14923140927299
60,60,60,0,0,27.85,0,0,"[60, 60, 60, 0, 0, 27.85, 0, 0]",107.10917322924611
60,60,60,0,0,29.64,0,0,"[60, 60, 60, 0, 0, 29.64, 0, 0]",107.13881716481039
60,60,60,0,0,31.43,0,0,"[60, 60, 60, 0, 0, 31.43, 0, 0]",107.04644445763958
60,60,60,0,0,33.22,0,0,"[60, 60, 60, 0, 0, 33.22, 0, 0]",107.06778578842045
60,60,60,0,0,35.01,0,0,"[60, 60, 60, 0, 0, 35.01, 0, 0]",107.1374127029626
60,60,60,0,0,36.8,0,0,"[60, 60, 60, 0, 0, 36.8, 0, 0]",107.14931463681015
60,60,60,0,0,38.59,0,0,"[60, 60, 60, 0, 0, 38.59, 0, 0]",107.17030980265037
60,60,60,0,0,40.38,0,0,"[60, 60, 60, 0, 0, 40.38, 0, 0]",107.1662088611665
60,60,60,0,0,42.17,0,0,"[60, 60, 60, 0, 0, 42.17, 0, 0]",107.09372599614558
60,60,60,0,0,43.96,0,0,"[60, 60, 60, 0, 0, 43.96, 0, 0]",107.11549897912079
60,60,60,0,0,45.75,0,0,"[60, 60, 60, 0, 0, 45.75, 0, 0]",107.24616125085905
60,60,60,0,0,47.54,0,0,"[60, 60, 60, 0, 0, 47.54, 0, 0]",107.09369297963704
60,60,60,0,0,49.33,0,0,"[60, 60, 60, 0, 0, 49.33, 0, 0]",107.07680054268485
60,60,60,0,0,51.120000000000005,0,0,"[60, 60, 60, 0, 0, 51.120000000000005, 0, 0]",107.16928439289052
60,60,60,0,0,52.910000000000004,0,0,"[60, 60, 60, 0, 0, 52.910000000000004, 0, 0]",107.14973251614077
60,60,60,0,0,54.7,0,0,"[60, 60, 60, 0, 0, 54.7, 0, 0]",107.12373453083015
60,60,60,0,0,56.49,0,0,"[60, 60, 60, 0, 0, 56.49, 0, 0]",107.11218677631607
60,60,60,0,0,58.28,0,0,"[60, 60, 60, 0, 0, 58.28, 0, 0]",107.16501709045171
60,60,60,0,0,60.07,0,0,"[60, 60, 60, 0, 0, 60.07, 0, 0]",107.1367542510643
60,60,60,0,0,61.86,0,0,"[60, 60, 60, 0, 0, 61.86, 0, 0]",107.11160896508244
60,60,60,0,0,63.65,0,0,"[60, 60, 60, 0, 0, 63.65, 0, 0]",107.14193290209312
60,60,60,0,0,65.44,0,0,"[60, 60, 60, 0, 0, 65.44, 0, 0]",107.09008705237574
60,60,60,0,0,67.23,0,0,"[60, 60, 60, 0, 0, 67.23, 0, 0]",107.03422614966246
60,60,60,0,0,69.02,0,0,"[60, 60, 60, 0, 0, 69.02, 0, 0]",107.109511735195
60,60,60,0,0,70.81,0,0,"[60, 60, 60, 0, 0, 70.81, 0, 0]",107.04835995556705
60,60,60,0,0,72.6,0,0,"[60, 60, 60, 0, 0, 72.6, 0, 0]",107.09505642533279
60,60,60,0,0,74.39,0,0,"[60, 60, 60, 0, 0, 74.39, 0, 0]",107.08685528516828
60,60,60,0,0,76.18,0,0,"[60, 60, 60, 0, 0, 76.18, 0, 0]",107.0094674005633
60,60,60,0,0,77.97,0,0,"[60, 60, 60, 0, 0, 77.97, 0, 0]",107.05441787302055
60,60,60,0,0,79.76,0,0,"[60, 60, 60, 0, 0, 79.76, 0, 0]",107.094336784425
60,60,60,0,0,81.55,0,0,"[60, 60, 60, 0, 0, 81.55, 0, 0]",107.00086636909855
60,60,60,0,0,83.34,0,0,"[60, 60, 60, 0, 0, 83.34, 0, 0]",107.03289233547504
60,60,60,0,0,85.13,0,0,"[60, 60, 60, 0, 0, 85.13, 0, 0]",107.06249992136884
60,60,60,0,0,86.92,0,0,"[60, 60, 60, 0, 0, 86.92, 0, 0]",107.09134872596647
