depth,height,width,yaw,pitch,roll,taper_width,taper_height,chromosome,fitness
60,60,60,0,0,0,0,0.0,"[60, 60, 60, 0, 0, 0, 0, 0.0]",106.94662712872649
60,60,60,0,0,0,0,0.1,"[60, 60, 60, 0, 0, 0, 0, 0.1]",107.48992964913108
60,60,60,0,0,0,0,0.2,"[60, 60, 60, 0, 0, 0, 0, 0.2]",108.01645462116345
60,60,60,0,0,0,0,0.30000000000000004,"[60, 60, 60, 0, 0, 0, 0, 0.30000000000000004]",108.54124972361902
60,60,60,0,0,0,0,0.4,"[60, 60, 60, 0, 0, 0, 0, 0.4]",109.06034991853434
60,60,60,0,0,0,0,0.5,"[60, 60, 60, 0, 0, 0, 0, 0.5]",109.5758111332523
60,60,60,0,0,0,0,0.6000000000000001,"[60, 60, 60, 0, 0, 0, 0, 0.6000000000000001]",110.19028363559595
60,60,60,0,0,0,0,0.7000000000000001,"[60, 60, 60, 0, 0, 0, 0, 0.7000000000000001]",110.69068667789607
60,60,60,0,0,0,0,0.8,"[60, 60, 60, 0, 0, 0, 0, 0.8]",111.18934619475803
60,60,60,0,0,0,0,0.9,"[60, 60, 60, 0, 0, 0, 0, 0.9]",111.6785750142318
60,60,60,0,0,0,0,1.0,"[60, 60, 60, 0, 0, 0, 0, 1.0]",112.06933898440911
60,60,60,0,0,0,0,1.1,"[60, 60, 60, 0, 0, 0, 0, 1.1]",112.1557770404074
60,60,60,0,0,0,0,1.2000000000000002,"[60, 60, 60, 0, 0, 0, 0, 1.2000000000000002]",112.20747928041118
60,60,60,0,0,0,0,1.3,"[60, 60, 60, 0, 0, 0, 0, 1.3]",112.24469985927048
60,60,60,0,0,0,0,1.4000000000000001,"[60, 60, 60, 0, 0, 0, 0, 1.4000000000000001]",112.27430866438482
60,60,60,0,0,0,0,1.5,"[60, 60, 60, 0, 0, 0, 0, 1.5]",112.29745739764556
60,60,60,0,0,0,0,1.6,"[60, 60, 60, 0, 0, 0, 0, 1.6]",112.31837350672579
60,60,60,0,0,0,0,1.7000000000000002,"[60, 60, 60, 0, 0, 0, 0, 1.7000000000000002]",112.3357344363174
60,60,60,0,0,0,0,1.8,"[60, 60, 60, 0, 0, 0, 0, 1.8]",112.35070266270728
60,60,60,0,0,0,0,1.9000000000000001,"[60, 60, 60, 0, 0, 0, 0, 1.9000000000000001]",112.3640751143508
60,60,60,0,0,0,0,2.0,"[60, 60, 60, 0, 0, 0, 0, 2.0]",112.36848479315556
60,60,60,0,0,0,0,2.1,"[60, 60, 60, 0, 0, 0, 0, 2.1]",112.38309671735475
60,60,60,0,0,0,0,2.2,"[60, 60, 60, 0, 0, 0, 0, 2.2]",112.39062772045847
60,60,60,0,0,0,0,2.3000000000000003,"[60, 60, 60, 0, 0, 0, 0, 2.3000000000000003]",112.39744872503292
60,60,60,0,0,0,0,2.4000000000000004,"[60, 60, 60, 0, 0, 0, 0, 2.4000000000000004]",112.40298785692383
60,60,60,0,0,0,0,2.5,"[60, 60, 60, 0, 0, 0, 0, 2.5]",112.40740874928161
60,60,60,0,0,0,0,2.6,"[60, 60, 60, 0, 0, 0, 0, 2.6]",112.41328892205587
60,60,60,0,0,0,0,2.7,"[60, 60, 60, 0, 0, 0, 0, 2.7]",112.41844211014828
60,60,60,0,0,0,0,2.8000000000000003,"[60, 60, 60, 0, 0, 0, 0, 2.8000000000000003]",112.42212562300628
60,60,60,0,0,0,0,2.9000000000000004,"[60, 60, 60, 0, 0, 0, 0, 2.9000000000000004]",112.426661864262
60,60,60,0,0,0,0,3.0,"[60, 60, 60, 0, 0, 0, 0, 3.0]",112.42890028308534
60,60,60,0,0,0,0,3.1,"[60, 60, 60, 0, 0, 0, 0, 3.1]",112.43374874163074
60,60,60,0,0,0,0,3.2,"[60, 60, 60, 0, 0, 0, 0, 3.2]",112.436315995678
60,60,60,0,0,0,0,3.3000000000000003,"[60, 60, 60, 0, 0, 0, 0, 3.3000000000000003]",112.43947740832246
60,60,60,0,0,0,0,3.4000000000000004,"[60, 60, 60, 0, 0, 0, 0, 3.4000000000000004]",112.44230086305652
60,60,60,0,0,0,0,3.5,"[60, 60, 60, 0, 0, 0, 0, 3.5]",112.44466220860127
60,60,60,0,0,0,0,3.6,"[60, 60, 60, 0, 0, 0, 0, 3.6]",112.44704570896212
60,60,60,0,0,0,0,3.7,"[60, 60, 60, 0, 0, 0, 0, 3.7]",112.449975953625
60,60,60,0,0,0,0,3.8000000000000003,"[60, 60, 60, 0, 0, 0, 0, 3.8000000000000003]",112.452091673018
60,60,60,0,0,0,0,3.9000000000000004,"[60, 60, 60, 0, 0, 0, 0, 3.9000000000000004]",112.45333850014437
60,60,60,0,0,0,0,4.0,"[60, 60, 60, 0, 0, 0, 0, 4.0]",112.45348556783247
60,60,60,0,0,0,0,4.1000000000000005,"[60, 60, 60, 0, 0, 0, 0, 4.1000000000000005]",112.45940164511343
60,60,60,0,0,0,0,4.2,"[60, 60, 60, 0, 0, 0, 0, 4.2]",112.45963856724126
60,60,60,0,0,0,0,4.3,"[60, 60, 60, 0, 0, 0, 0, 4.3]",112.46127170418103
60,60,60,0,0,0,0,4.4,"[60, 60, 60, 0, 0, 0, 0, 4.4]",112.46232120634465
60,60,60,0,0,0,0,4.5,"[60, 60, 60, 0, 0, 0, 0, 4.5]",112.46333480937642
60,60,60,0,0,0,0,4.6000000000000005,"[60, 60, 60, 0, 0, 0, 0, 4.6000000000000005]",112.46531589249528
60,60,60,0,0,0,0,4.7,"[60, 60, 60, 0, 0, 0, 0, 4.7]",112.46694393946186
