depth,height,width,yaw,pitch,roll,taper_width,taper_height,chromosome,fitness
60,60,1.0,0,0,0,0,0,"[60, 60, 1.0, 0, 0, 0, 0, 0]",112.52101606903219
60,60,2.24,0,0,0,0,0,"[60, 60, 2.24, 0, 0, 0, 0, 0]",112.3402995476352
60,60,3.48,0,0,0,0,0,"[60, 60, 3.48, 0, 0, 0, 0, 0]",112.3402995476352
60,60,4.72,0,0,0,0,0,"[60, 60, 4.72, 0, 0, 0, 0, 0]",112.15922940475211
60,60,5.96,0,0,0,0,0,"[60, 60, 5.96, 0, 0, 0, 0, 0]",112.15922940475211
60,60,7.2,0,0,0,0,0,"[60, 60, 7.2, 0, 0, 0, 0, 0]",111.97780460143005
60,60,8.44,0,0,0,0,0,"[60, 60, 8.44, 0, 0, 0, 0, 0]",111.79602409464226
60,60,9.68,0,0,0,0,0,"[60, 60, 9.68, 0, 0, 0, 0, 0]",111.79602409464226
60,60,10.92,0,0,0,0,0,"[60, 60, 10.92, 0, 0, 0, 0, 0]",111.61388683726804
60,60,12.16,0,0,0,0,0,"[60, 60, 12.16, 0, 0, 0, 0, 0]",111.43139177807265
60,60,13.4,0,0,0,0,0,"[60, 60, 13.4, 0, 0, 0, 0, 0]",111.43139177807265
60,60,14.64,0,0,0,0,0,"[60, 60, 14.64, 0, 0, 0, 0, 0]",111.24853786168717
60,60,15.879999999999999,0,0,0,0,0,"[60, 60, 15.879999999999999, 0, 0, 0, 0, 0]",111.24853786168717
60,60,17.12,0,0,0,0,0,"[60, 60, 17.12, 0, 0, 0, 0, 0]",111.06532402858772
60,60,18.36,0,0,0,0,0,"[60, 60, 18.36, 0, 0, 0, 0, 0]",110.88174921507591
60,60,19.6,0,0,0,0,0,"[60, 60, 19.6, 0, 0, 0, 0, 0]",110.88174921507591
60,60,20.84,0,0,0,0,0,"[60, 60, 20.84, 0, 0, 0, 0, 0]",110.69781235325686
60,60,22.08,0,0,0,0,0,"[60, 60, 22.08, 0, 0, 0, 0, 0]",110.51351237102
60,60,23.32,0,0,0,0,0,"[60, 60, 23.32, 0, 0, 0, 0, 0]",110.51351237102
60,60,24.56,0,0,0,0,0,"[60, 60, 24.56, 0, 0, 0, 0, 0]",110.32884819201735
60,60,25.8,0,0,0,0,0,"[60, 60, 25.8, 0, 0, 0, 0, 0]",110.32884819201735
60,60,27.04,0,0,0,0,0,"[60, 60, 27.04, 0, 0, 0, 0, 0]",110.14381873564254
60,60,28.28,0,0,0,0,0,"[60, 60, 28.28, 0, 0, 0, 0, 0]",109.95842291701027
60,60,29.52,0,0,0,0,0,"[60, 60, 29.52, 0, 0, 0, 0, 0]",109.95842291701027
60,60,30.759999999999998,0,0,0,0,0,"[60, 60, 30.759999999999998, 0, 0, 0, 0, 0]",109.7726596469346
60,60,32.0,0,0,0,0,0,"[60, 60, 32.0, 0, 0, 0, 0, 0]",109.58652783190784
60,60,33.24,0,0,0,0,0,"[60, 60, 33.24, 0, 0, 0, 0, 0]",109.58652783190784
60,60,34.48,0,0,0,0,0,"[60, 60, 34.48, 0, 0, 0, 0, 0]",109.40002637407912
60,60,35.72,0,0,0,0,0,"[60, 60, 35.72, 0, 0, 0, 0, 0]",109.40002637407912
60,60,36.96,0,0,0,0,0,"[60, 60, 36.96, 0, 0, 0, 0, 0]",109.21315417123265
60,60,38.2,0,0,0,0,0,"[60, 60, 38.2, 0, 0, 0, 0, 0]",109.02591011676616
60,60,39.44,0,0,0,0,0,"[60, 60, 39.44, 0, 0, 0, 0, 0]",109.02591011676616
60,60,40.68,0,0,0,0,0,"[60, 60, 40.68, 0, 0, 0, 0, 0]",108.83829309966904
60,60,41.92,0,0,0,0,0,"[60, 60, 41.92, 0, 0, 0, 0, 0]",108.83829309966904
60,60,43.16,0,0,0,0,0,"[60, 60, 43.16, 0, 0, 0, 0, 0]",108.65030200450029
60,60,44.4,0,0,0,0,0,"[60, 60, 44.4, 0, 0, 0, 0, 0]",108.46194714827931
60,60,45.64,0,0,0,0,0,"[60, 60, 45.64, 0, 0, 0, 0, 0]",108.46194714827931
60,60,46.88,0,0,0,0,0,"[60, 60, 46.88, 0, 0, 0, 0, 0]",108.27325702643753
60,60,48.12,0,0,0,0,0,"[60, 60, 48.12, 0, 0, 0, 0, 0]",108.08426905876345
60,60,49.36,0,0,0,0,0,"[60, 60, 49.36, 0, 0, 0, 0, 0]",108.08426905876345
60,60,50.6,0,0,0,0,0,"[60, 60, 50.6, 0, 0, 0, 0, 0]",107.89502576541807
60,60,51.839999999999996,0,0,0,0,0,"[60, 60, 51.839999999999996, 0, 0, 0, 0, 0]",107.89502576541807
60,60,53.08,0,0,0,0,0,"[60, 60, 53.08, 0, 0, 0, 0, 0]",107.7055724203621
60,60,54.32,0,0,0,0,0,"[60, 60, 54.32, 0, 0, 0, 0, 0]",107.51595534586545
60,60,55.56,0,0,0,0,0,"[60, 60, 55.56, 0, 0, 0, 0, 0]",107.51595534586545
60,60,56.8,0,0,0,0,0,"[60, 60, 56.8, 0, 0, 0, 0, 0]",107.3262244013956
60,60,58.04,0,0,0,0,0,"[60, 60, 58.04, 0, 0, 0, 0, 0]",107.136430915051
60,60,59.28,0,0,0,0,0,"[60, 60, 59.28, 0, 0, 0, 0, 0]",107.136430915051
60,60,60.519999999999996,0,0,0,0,0,"[60, 60, 60.519999999999996, 0, 0, 0, 0, 0]",106.94662712872649
60,60,61.76,0,0,0,0,0,"[60, 60, 61.76, 0, 0, 0, 0, 0]",106.94662712872649
60,60,63.0,0,0,0,0,0,"[60, 60, 63.0, 0, 0, 0, 0, 0]",106.75686749712351
60,60,64.24000000000001,0,0,0,0,0,"[60, 60, 64.24000000000001, 0, 0, 0, 0, 0]",106.56720688570616
60,60,65.48,0,0,0,0,0,"[60, 60, 65.48, 0, 0, 0, 0, 0]",106.56720688570616
60,60,66.72,0,0,0,0,0,"[60, 60, 66.72, 0, 0, 0, 0, 0]",106.37770202059514
60,60,67.96,0,0,0,0,0,"[60, 60, 67.96, 0, 0, 0, 0, 0]",106.37770202059514
60,60,69.2,0,0,0,0,0,"[60, 60, 69.2, 0, 0, 0, 0, 0]",106.18841001521322
60,60,70.44,0,0,0,0,0,"[60, 60, 70.44, 0, 0, 0, 0, 0]",105.9993893332518
60,60,71.67999999999999,0,0,0,0,0,"[60, 60, 71.67999999999999, 0, 0, 0, 0, 0]",105.9993893332518
60,60,72.92,0,0,0,0,0,"[60, 60, 72.92, 0, 0, 0, 0, 0]",105.81069896193316
60,60,74.16,0,0,0,0,0,"[60, 60, 74.16, 0, 0, 0, 0, 0]",105.62239855923934
60,60,75.4,0,0,0,0,0,"[60, 60, 75.4, 0, 0, 0, 0, 0]",105.62239855923934
60,60,76.64,0,0,0,0,0,"[60, 60, 76.64, 0, 0, 0, 0, 0]",105.43454855391735
60,60,77.88,0,0,0,0,0,"[60, 60, 77.88, 0, 0, 0, 0, 0]",105.43454855391735
60,60,79.12,0,0,0,0,0,"[60, 60, 79.12, 0, 0, 0, 0, 0]",105.24720941179687
60,60,80.36,0,0,0,0,0,"[60, 60, 80.36, 0, 0, 0, 0, 0]",105.06044259712354
60,60,81.6,0,0,0,0,0,"[60, 60, 81.6, 0, 0, 0, 0, 0]",105.06044259712354
60,60,82.84,0,0,0,0,0,"[60, 60, 82.84, 0, 0, 0, 0, 0]",104.87430902015709
60,60,84.08,0,0,0,0,0,"[60, 60, 84.08, 0, 0, 0, 0, 0]",104.68887088151997
60,60,85.32,0,0,0,0,0,"[60, 60, 85.32, 0, 0, 0, 0, 0]",104.68887088151997
60,60,86.56,0,0,0,0,0,"[60, 60, 86.56, 0, 0, 0, 0, 0]",104.50418945130177
60,60,87.8,0,0,0,0,0,"[60, 60, 87.8, 0, 0, 0, 0, 0]",104.50418945130177
60,60,89.04,0,0,0,0,0,"[60, 60, 89.04, 0, 0, 0, 0, 0]",104.32032702076438
60,60,90.28,0,0,0,0,0,"[60, 60, 90.28, 0, 0, 0, 0, 0]",104.13734650418891
60,60,91.52,0,0,0,0,0,"[60, 60, 91.52, 0, 0, 0, 0, 0]",104.13734650418891
60,60,92.76,0,0,0,0,0,"[60, 60, 92.76, 0, 0, 0, 0, 0]",103.95530851946397
60,60,94.0,0,0,0,0,0,"[60, 60, 94.0, 0, 0, 0, 0, 0]",103.77427568578163
60,60,95.24,0,0,0,0,0,"[60, 60, 95.24, 0, 0, 0, 0, 0]",103.77427568578163
60,60,96.48,0,0,0,0,0,"[60, 60, 96.48, 0, 0, 0, 0, 0]",103.59431091705255
60,60,97.72,0,0,0,0,0,"[60, 60, 97.72, 0, 0, 0, 0, 0]",103.59431091705255
60,60,98.96,0,0,0,0,0,"[60, 60, 98.96, 0, 0, 0, 0, 0]",103.4154747575521
60,60,100.2,0,0,0,0,0,"[60, 60, 100.2, 0, 0, 0, 0, 0]",103.23782827242641
60,60,101.44,0,0,0,0,0,"[60, 60, 101.44, 0, 0, 0, 0, 0]",103.23782827242641
60,60,102.67999999999999,0,0,0,0,0,"[60, 60, 102.67999999999999, 0, 0, 0, 0, 0]",103.06143358875138
60,60,103.92,0,0,0,0,0,"[60, 60, 103.92, 0, 0, 0, 0, 0]",103.06143358875138
60,60,105.16,0,0,0,0,0,"[60, 60, 105.16, 0, 0, 0, 0, 0]",102.88635179059146
60,60,106.4,0,0,0,0,0,"[60, 60, 106.4, 0, 0, 0, 0, 0]",102.71264242665472
60,60,107.64,0,0,0,0,0,"[60, 60, 107.64, 0, 0, 0, 0, 0]",102.71264242665472
