depth,height,width,yaw,pitch,roll,taper_width,taper_height,chromosome,fitness
60,60,60,1.0,0,0,0,0,"[60, 60, 60, 1.0, 0, 0, 0, 0]",107.12573296560811
60,60,60,2.79,0,0,0,0,"[60, 60, 60, 2.79, 0, 0, 0, 0]",107.12488631274985
60,60,60,4.58,0,0,0,0,"[60, 60, 60, 4.58, 0, 0, 0, 0]",107.11914446944914
60,60,60,6.37,0,0,0,0,"[60, 60, 60, 6.37, 0, 0, 0, 0]",107.19345983145689
60,60,60,8.16,0,0,0,0,"[60, 60, 60, 8.16, 0, 0, 0, 0]",107.19656061992194
60,60,60,9.95,0,0,0,0,"[60, 60, 60, 9.95, 0, 0, 0, 0]",107.28343205407953
60,60,60,11.74,0,0,0,0,"[60, 60, 60, 11.74, 0, 0, 0, 0]",107.43007771436046
60,60,60,13.530000000000001,0,0,0,0,"[60, 60, 60, 13.530000000000001, 0, 0, 0, 0]",107.44798636971487
60,60,60,15.32,0,0,0,0,"[60, 60, 60, 15.32, 0, 0, 0, 0]",107.60679637428987
60,60,60,17.11,0,0,0,0,"[60, 60, 60, 17.11, 0, 0, 0, 0]",107.68628161165074
60,60,60,18.9,0,0,0,0,"[60, 60, 60, 18.9, 0, 0, 0, 0]",107.84499236925151
60,60,60,20.69,0,0,0,0,"[60, 60, 60, 20.69, 0, 0, 0, 0]",107.97861186837152
60,60,60,22.48,0,0,0,0,"[60, 60, 60, 22.48, 0, 0, 0, 0]",108.145285474463
60,60,60,24.27,0,0,0,0,"[60, 60, 60, 24.27, 0, 0, 0, 0]",108.34409923822233
60,60,60,26.060000000000002,0,0,0,0,"[60, 60, 60, 26.060000000000002, 0, 0, 0, 0]",108.51055418785094
60,60,60,27.85,0,0,0,0,"[60, 60, 60, 27.85, 0, 0, 0, 0]",108.64765071192056
60,60,60,29.64,0,0,0,0,"[60, 60, 60, 29.64, 0, 0, 0, 0]",108.85063870231463
60,60,60,31.43,0,0,0,0,"[60, 60, 60, 31.43, 0, 0, 0, 0]",108.99695297119798
60,60,60,33.22,0,0,0,0,"[60, 60, 60, 33.22, 0, 0, 0, 0]",109.17526775247367
60,60,60,35.01,0,0,0,0,"[60, 60, 60, 35.01, 0, 0, 0, 0]",109.32637057450981
60,60,60,36.8,0,0,0,0,"[60, 60, 60, 36.8, 0, 0, 0, 0]",109.53148006282244
60,60,60,38.59,0,0,0,0,"[60, 60, 60, 38.59, 0, 0, 0, 0]",109.68264458248868
60,60,60,40.38,0,0,0,0,"[60, 60, 60, 40.38, 0, 0, 0, 0]",109.82266659518595
60,60,60,42.17,0,0,0,0,"[60, 60, 60, 42.17, 0, 0, 0, 0]",110.01564530832887
60,60,60,43.96,0,0,0,0,"[60, 60, 60, 43.96, 0, 0, 0, 0]",110.21052470592058
60,60,60,45.75,0,0,0,0,"[60, 60, 60, 45.75, 0, 0, 0, 0]",110.31914785096204
60,60,60,47.54,0,0,0,0,"[60, 60, 60, 47.54, 0, 0, 0, 0]",110.45082525190259
60,60,60,49.33,0,0,0,0,"[60, 60, 60, 49.33, 0, 0, 0, 0]",110.57727972390735
60,60,60,51.120000000000005,0,0,0,0,"[60, 60, 60, 51.120000000000005, 0, 0, 0, 0]",110.71412598157434
60,60,60,52.910000000000004,0,0,0,0,"[60, 60, 60, 52.910000000000004, 0, 0, 0, 0]",110.837351270005
60,60,60,54.7,0,0,0,0,"[60, 60, 60, 54.7, 0, 0, 0, 0]",110.97609150303427
