depth,height,width,yaw,pitch,roll,taper_width,taper_height,chromosome,fitness
1.0,125,125,0,0,0,0,0,"[1.0, 125, 125, 0, 0, 0, 0, 0]",120.69792095883216
2.19,125,125,0,0,0,0,0,"[2.19, 125, 125, 0, 0, 0, 0, 0]",120.34881638452208
3.38,125,125,0,0,0,0,0,"[3.38, 125, 125, 0, 0, 0, 0, 0]",119.96932065982361
4.57,125,125,0,0,0,0,0,"[4.57, 125, 125, 0, 0, 0, 0, 0]",119.56572715404091
5.76,125,125,0,0,0,0,0,"[5.76, 125, 125, 0, 0, 0, 0, 0]",119.14181654412485
6.949999999999999,125,125,0,0,0,0,0,"[6.949999999999999, 125, 125, 0, 0, 0, 0, 0]",118.70030118977165
8.14,125,125,0,0,0,0,0,"[8.14, 125, 125, 0, 0, 0, 0, 0]",117.772323335833
9.33,125,125,0,0,0,0,0,"[9.33, 125, 125, 0, 0, 0, 0, 0]",117.28894628335202
10.52,125,125,0,0,0,0,0,"[10.52, 125, 125, 0, 0, 0, 0, 0]",116.79436349672049
11.709999999999999,125,125,0,0,0,0,0,"[11.709999999999999, 125, 125, 0, 0, 0, 0, 0]",116.28962623000902
12.899999999999999,125,125,0,0,0,0,0,"[12.899999999999999, 125, 125, 0, 0, 0, 0, 0]",115.77573908948514
14.09,125,125,0,0,0,0,0,"[14.09, 125, 125, 0, 0, 0, 0, 0]",114.72386512227222
15.28,125,125,0,0,0,0,0,"[15.28, 125, 125, 0, 0, 0, 0, 0]",114.18744181705605
16.47,125,125,0,0,0,0,0,"[16.47, 125, 125, 0, 0, 0, 0, 0]",113.644998377924
17.66,125,125,0,0,0,0,0,"[17.66, 125, 125, 0, 0, 0, 0, 0]",113.09714942154477
18.849999999999998,125,125,0,0,0,0,0,"[18.849999999999998, 125, 125, 0, 0, 0, 0, 0]",112.54455421507504
20.04,125,125,0,0,0,0,0,"[20.04, 125, 125, 0, 0, 0, 0, 0]",111.4283922292101
21.23,125,125,0,0,0,0,0,"[21.23, 125, 125, 0, 0, 0, 0, 0]",110.8668753790417
22.419999999999998,125,125,0,0,0,0,0,"[22.419999999999998, 125, 125, 0, 0, 0, 0, 0]",110.30434437511883
23.61,125,125,0,0,0,0,0,"[23.61, 125, 125, 0, 0, 0, 0, 0]",109.74159625854273
24.799999999999997,125,125,0,0,0,0,0,"[24.799999999999997, 125, 125, 0, 0, 0, 0, 0]",109.17941499204352
25.99,125,125,0,0,0,0,0,"[25.99, 125, 125, 0, 0, 0, 0, 0]",108.61842157333935
27.18,125,125,0,0,0,0,0,"[27.18, 125, 125, 0, 0, 0, 0, 0]",107.50251074457165
28.369999999999997,125,125,0,0,0,0,0,"[28.369999999999997, 125, 125, 0, 0, 0, 0, 0]",106.94867500386995
29.56,125,125,0,0,0,0,0,"[29.56, 125, 125, 0, 0, 0, 0, 0]",106.39819304438433
30.75,125,125,0,0,0,0,0,"[30.75, 125, 125, 0, 0, 0, 0, 0]",105.8515461434594
31.939999999999998,125,125,0,0,0,0,0,"[31.939999999999998, 125, 125, 0, 0, 0, 0, 0]",105.30908201460477
33.129999999999995,125,125,0,0,0,0,0,"[33.129999999999995, 125, 125, 0, 0, 0, 0, 0]",104.23826997340117
34.32,125,125,0,0,0,0,0,"[34.32, 125, 125, 0, 0, 0, 0, 0]",103.71055023809956
35.51,125,125,0,0,0,0,0,"[35.51, 125, 125, 0, 0, 0, 0, 0]",103.18836949682824
36.699999999999996,125,125,0,0,0,0,0,"[36.699999999999996, 125, 125, 0, 0, 0, 0, 0]",102.67200333976707
37.89,125,125,0,0,0,0,0,"[37.89, 125, 125, 0, 0, 0, 0, 0]",102.16169013089211
39.08,125,125,0,0,0,0,0,"[39.08, 125, 125, 0, 0, 0, 0, 0]",101.1601941857282
40.269999999999996,125,125,0,0,0,0,0,"[40.269999999999996, 125, 125, 0, 0, 0, 0, 0]",100.66945439504173
41.46,125,125,0,0,0,0,0,"[41.46, 125, 125, 0, 0, 0, 0, 0]",100.18563919205684
42.65,125,125,0,0,0,0,0,"[42.65, 125, 125, 0, 0, 0, 0, 0]",99.70894024871143
43.839999999999996,125,125,0,0,0,0,0,"[43.839999999999996, 125, 125, 0, 0, 0, 0, 0]",99.23952939791631
45.03,125,125,0,0,0,0,0,"[45.03, 125, 125, 0, 0, 0, 0, 0]",98.32320508108538
46.22,125,125,0,0,0,0,0,"[46.22, 125, 125, 0, 0, 0, 0, 0]",97.87658542750572
47.41,125,125,0,0,0,0,0,"[47.41, 125, 125, 0, 0, 0, 0, 0]",97.43783999843517
48.599999999999994,125,125,0,0,0,0,0,"[48.599999999999994, 125, 125, 0, 0, 0, 0, 0]",97.00709872763473
49.79,125,125,0,0,0,0,0,"[49.79, 125, 125, 0, 0, 0, 0, 0]",96.58447385004825
50.98,125,125,0,0,0,0,0,"[50.98, 125, 125, 0, 0, 0, 0, 0]",96.17007803286222
52.169999999999995,125,125,0,0,0,0,0,"[52.169999999999995, 125, 125, 0, 0, 0, 0, 0]",95.366401335483
53.36,125,125,0,0,0,0,0,"[53.36, 125, 125, 0, 0, 0, 0, 0]",94.97730873772858
54.55,125,125,0,0,0,0,0,"[54.55, 125, 125, 0, 0, 0, 0, 0]",94.5968370218322
55.739999999999995,125,125,0,0,0,0,0,"[55.739999999999995, 125, 125, 0, 0, 0, 0, 0]",94.22507459813392
56.93,125,125,0,0,0,0,0,"[56.93, 125, 125, 0, 0, 0, 0, 0]",93.86209895620438
58.12,125,125,0,0,0,0,0,"[58.12, 125, 125, 0, 0, 0, 0, 0]",93.16280117699338
59.309999999999995,125,125,0,0,0,0,0,"[59.309999999999995, 125, 125, 0, 0, 0, 0, 0]",92.82661599654968
60.5,125,125,0,0,0,0,0,"[60.5, 125, 125, 0, 0, 0, 0, 0]",92.49949725024393
61.69,125,125,0,0,0,0,0,"[61.69, 125, 125, 0, 0, 0, 0, 0]",92.18150097337507
62.879999999999995,125,125,0,0,0,0,0,"[62.879999999999995, 125, 125, 0, 0, 0, 0, 0]",91.87268748570405
64.07,125,125,0,0,0,0,0,"[64.07, 125, 125, 0, 0, 0, 0, 0]",91.28282261432031
65.25999999999999,125,125,0,0,0,0,0,"[65.25999999999999, 125, 125, 0, 0, 0, 0, 0]",91.0018726218511
66.45,125,125,0,0,0,0,0,"[66.45, 125, 125, 0, 0, 0, 0, 0]",90.73030589747913
67.64,125,125,0,0,0,0,0,"[67.64, 125, 125, 0, 0, 0, 0, 0]",90.46816916015277
68.83,125,125,0,0,0,0,0,"[68.83, 125, 125, 0, 0, 0, 0, 0]",90.21550556605699
70.02,125,125,0,0,0,0,0,"[70.02, 125, 125, 0, 0, 0, 0, 0]",89.73876633545964
71.21,125,125,0,0,0,0,0,"[71.21, 125, 125, 0, 0, 0, 0, 0]",89.51477107747405
72.39999999999999,125,125,0,0,0,0,0,"[72.39999999999999, 125, 125, 0, 0, 0, 0, 0]",89.30041013627282
73.59,125,125,0,0,0,0,0,"[73.59, 125, 125, 0, 0, 0, 0, 0]",89.09572018161337
74.78,125,125,0,0,0,0,0,"[74.78, 125, 125, 0, 0, 0, 0, 0]",88.90073640648953
75.97,125,125,0,0,0,0,0,"[75.97, 125, 125, 0, 0, 0, 0, 0]",88.71549282790278
77.16,125,125,0,0,0,0,0,"[77.16, 125, 125, 0, 0, 0, 0, 0]",88.37435452227214
78.35,125,125,0,0,0,0,0,"[78.35, 125, 125, 0, 0, 0, 0, 0]",88.21852011220014
79.53999999999999,125,125,0,0,0,0,0,"[79.53999999999999, 125, 125, 0, 0, 0, 0, 0]",88.07254654692859
80.72999999999999,125,125,0,0,0,0,0,"[80.72999999999999, 125, 125, 0, 0, 0, 0, 0]",87.93646019357362
81.92,125,125,0,0,0,0,0,"[81.92, 125, 125, 0, 0, 0, 0, 0]",87.81028548303453
83.11,125,125,0,0,0,0,0,"[83.11, 125, 125, 0, 0, 0, 0, 0]",87.58776046017246
84.3,125,125,0,0,0,0,0,"[84.3, 125, 125, 0, 0, 0, 0, 0]",87.49145036114214
85.49,125,125,0,0,0,0,0,"[85.49, 125, 125, 0, 0, 0, 0, 0]",87.40513201620524
86.67999999999999,125,125,0,0,0,0,0,"[86.67999999999999, 125, 125, 0, 0, 0, 0, 0]",87.32882044094714
87.86999999999999,125,125,0,0,0,0,0,"[87.86999999999999, 125, 125, 0, 0, 0, 0, 0]",87.26252853283671
89.06,125,125,0,0,0,0,0,"[89.06, 125, 125, 0, 0, 0, 0, 0]",87.16004363971855
90.25,125,125,0,0,0,0,0,"[90.25, 125, 125, 0, 0, 0, 0, 0]",87.12386447712609
91.44,125,125,0,0,0,0,0,"[91.44, 125, 125, 0, 0, 0, 0, 0]",87.09773236175175
92.63,125,125,0,0,0,0,0,"[92.63, 125, 125, 0, 0, 0, 0, 0]",87.08164744242521
93.82,125,125,0,0,0,0,0,"[93.82, 125, 125, 0, 0, 0, 0, 0]",87.07560687203686
