depth,height,width,yaw,pitch,roll,taper_width,taper_height,chromosome,fitness
60,125,125,0,0,0,0,0.0,"[60, 125, 125, 0, 0, 0, 0, 0.0]",92.49949725024393
60,125,125,0,0,0,0,0.1,"[60, 125, 125, 0, 0, 0, 0, 0.1]",93.8115190175659
60,125,125,0,0,0,0,0.2,"[60, 125, 125, 0, 0, 0, 0, 0.2]",95.2020362956038
60,125,125,0,0,0,0,0.30000000000000004,"[60, 125, 125, 0, 0, 0, 0, 0.30000000000000004]",96.77111330209091
60,125,125,0,0,0,0,0.4,"[60, 125, 125, 0, 0, 0, 0, 0.4]",98.27118709459515
60,125,125,0,0,0,0,0.5,"[60, 125, 125, 0, 0, 0, 0, 0.5]",99.73412299933159
60,125,125,0,0,0,0,0.6000000000000001,"[60, 125, 125, 0, 0, 0, 0, 0.6000000000000001]",101.2311530263207
60,125,125,0,0,0,0,0.7000000000000001,"[60, 125, 125, 0, 0, 0, 0, 0.7000000000000001]",102.58035322372257
60,125,125,0,0,0,0,0.8,"[60, 125, 125, 0, 0, 0, 0, 0.8]",103.8652842147579
60,125,125,0,0,0,0,0.9,"[60, 125, 125, 0, 0, 0, 0, 0.9]",105.10753960355771
60,125,125,0,0,0,0,1.0,"[60, 125, 125, 0, 0, 0, 0, 1.0]",106.26716604099965
60,125,125,0,0,0,0,1.1,"[60, 125, 125, 0, 0, 0, 0, 1.1]",106.77753095541186
60,125,125,0,0,0,0,1.2000000000000002,"[60, 125, 125, 0, 0, 0, 0, 1.2000000000000002]",107.10825296177482
60,125,125,0,0,0,0,1.3,"[60, 125, 125, 0, 0, 0, 0, 1.3]",107.32846770077705
60,125,125,0,0,0,0,1.4000000000000001,"[60, 125, 125, 0, 0, 0, 0, 1.4000000000000001]",107.50841632299205
60,125,125,0,0,0,0,1.5,"[60, 125, 125, 0, 0, 0, 0, 1.5]",107.64939096382454
60,125,125,0,0,0,0,1.6,"[60, 125, 125, 0, 0, 0, 0, 1.6]",107.7648115521446
60,125,125,0,0,0,0,1.7000000000000002,"[60, 125, 125, 0, 0, 0, 0, 1.7000000000000002]",107.86454482343129
60,125,125,0,0,0,0,1.8,"[60, 125, 125, 0, 0, 0, 0, 1.8]",107.95257134011482
60,125,125,0,0,0,0,1.9000000000000001,"[60, 125, 125, 0, 0, 0, 0, 1.9000000000000001]",108.04411694844423
60,125,125,0,0,0,0,2.0,"[60, 125, 125, 0, 0, 0, 0, 2.0]",108.0905053998929
60,125,125,0,0,0,0,2.1,"[60, 125, 125, 0, 0, 0, 0, 2.1]",108.1449840394071
60,125,125,0,0,0,0,2.2,"[60, 125, 125, 0, 0, 0, 0, 2.2]",108.19717107476049
60,125,125,0,0,0,0,2.3000000000000003,"[60, 125, 125, 0, 0, 0, 0, 2.3000000000000003]",108.2437173364849
60,125,125,0,0,0,0,2.4000000000000004,"[60, 125, 125, 0, 0, 0, 0, 2.4000000000000004]",108.28551453350477
60,125,125,0,0,0,0,2.5,"[60, 125, 125, 0, 0, 0, 0, 2.5]",108.32127351912148
60,125,125,0,0,0,0,2.6,"[60, 125, 125, 0, 0, 0, 0, 2.6]",108.35772685999598
60,125,125,0,0,0,0,2.7,"[60, 125, 125, 0, 0, 0, 0, 2.7]",108.39276743129426
60,125,125,0,0,0,0,2.8000000000000003,"[60, 125, 125, 0, 0, 0, 0, 2.8000000000000003]",108.4217367262184
60,125,125,0,0,0,0,2.9000000000000004,"[60, 125, 125, 0, 0, 0, 0, 2.9000000000000004]",108.44561015347566
60,125,125,0,0,0,0,3.0,"[60, 125, 125, 0, 0, 0, 0, 3.0]",108.47418038508624
60,125,125,0,0,0,0,3.1,"[60, 125, 125, 0, 0, 0, 0, 3.1]",108.49863716707323
60,125,125,0,0,0,0,3.2,"[60, 125, 125, 0, 0, 0, 0, 3.2]",108.52050200878182
60,125,125,0,0,0,0,3.3000000000000003,"[60, 125, 125, 0, 0, 0, 0, 3.3000000000000003]",108.53976854313942
60,125,125,0,0,0,0,3.4000000000000004,"[60, 125, 125, 0, 0, 0, 0, 3.4000000000000004]",108.56216240477892
60,125,125,0,0,0,0,3.5,"[60, 125, 125, 0, 0, 0, 0, 3.5]",108.58035480145003
60,125,125,0,0,0,0,3.6,"[60, 125, 125, 0, 0, 0, 0, 3.6]",108.59641295086143
60,125,125,0,0,0,0,3.7,"[60, 125, 125, 0, 0, 0, 0, 3.7]",108.61421569716614
60,125,125,0,0,0,0,3.8000000000000003,"[60, 125, 125, 0, 0, 0, 0, 3.8000000000000003]",108.63455911662851
60,125,125,0,0,0,0,3.9000000000000004,"[60, 125, 125, 0, 0, 0, 0, 3.9000000000000004]",108.6407266597032
60,125,125,0,0,0,0,4.0,"[60, 125, 125, 0, 0, 0, 0, 4.0]",108.65514051612422
60,125,125,0,0,0,0,4.1000000000000005,"[60, 125, 125, 0, 0, 0, 0, 4.1000000000000005]",108.67162169550132
60,125,125,0,0,0,0,4.2,"[60, 125, 125, 0, 0, 0, 0, 4.2]",108.68216205383428
60,125,125,0,0,0,0,4.3,"[60, 125, 125, 0, 0, 0, 0, 4.3]",108.6921882700756
60,125,125,0,0,0,0,4.4,"[60, 125, 125, 0, 0, 0, 0, 4.4]",108.70802305943035
60,125,125,0,0,0,0,4.5,"[60, 125, 125, 0, 0, 0, 0, 4.5]",108.7160860458851
60,125,125,0,0,0,0,4.6000000000000005,"[60, 125, 125, 0, 0, 0, 0, 4.6000000000000005]",108.72943179831327
60,125,125,0,0,0,0,4.7,"[60, 125, 125, 0, 0, 0, 0, 4.7]",108.73857127899117
60,125,125,0,0,0,0,4.800000000000001,"[60, 125, 125, 0, 0, 0, 0, 4.800000000000001]",108.74803346386176
60,125,125,0,0,0,0,4.9,"[60, 125, 125, 0, 0, 0, 0, 4.9]",108.75675789919447
60,125,125,0,0,0,0,5.0,"[60, 125, 125, 0, 0, 0, 0, 5.0]",108.76473563896832
60,125,125,0,0,0,0,5.1000000000000005,"[60, 125, 125, 0, 0, 0, 0, 5.1000000000000005]",108.77552379930813
60,125,125,0,0,0,0,5.2,"[60, 125, 125, 0, 0, 0, 0, 5.2]",108.7809699644587
60,125,125,0,0,0,0,5.300000000000001,"[60, 125, 125, 0, 0, 0, 0, 5.300000000000001]",108.79315287730174
60,125,125,0,0,0,0,5.4,"[60, 125, 125, 0, 0, 0, 0, 5.4]",108.79923597342571
60,125,125,0,0,0,0,5.5,"[60, 125, 125, 0, 0, 0, 0, 5.5]",108.80443159833202
60,125,125,0,0,0,0,5.6000000000000005,"[60, 125, 125, 0, 0, 0, 0, 5.6000000000000005]",108.81179383588169
60,125,125,0,0,0,0,5.7,"[60, 125, 125, 0, 0, 0, 0, 5.7]",108.82123674163049
60,125,125,0,0,0,0,5.800000000000001,"[60, 125, 125, 0, 0, 0, 0, 5.800000000000001]",108.82289843218282
60,125,125,0,0,0,0,5.9,"[60, 125, 125, 0, 0, 0, 0, 5.9]",108.83078931677335
60,125,125,0,0,0,0,6.0,"[60, 125, 125, 0, 0, 0, 0, 6.0]",108.83696247116848
60,125,125,0,0,0,0,6.1000000000000005,"[60, 125, 125, 0, 0, 0, 0, 6.1000000000000005]",108.84237882020349
60,125,125,0,0,0,0,6.2,"[60, 125, 125, 0, 0, 0, 0, 6.2]",108.84779793335703
60,125,125,0,0,0,0,6.300000000000001,"[60, 125, 125, 0, 0, 0, 0, 6.300000000000001]",108.85614326084706
60,125,125,0,0,0,0,6.4,"[60, 125, 125, 0, 0, 0, 0, 6.4]",108.86059669089246
60,125,125,0,0,0,0,6.5,"[60, 125, 125, 0, 0, 0, 0, 6.5]",108.866770637005
60,125,125,0,0,0,0,6.6000000000000005,"[60, 125, 125, 0, 0, 0, 0, 6.6000000000000005]",108.87059756619338
60,125,125,0,0,0,0,6.7,"[60, 125, 125, 0, 0, 0, 0, 6.7]",108.87658197913333
60,125,125,0,0,0,0,6.800000000000001,"[60, 125, 125, 0, 0, 0, 0, 6.800000000000001]",108.87897104652183
60,125,125,0,0,0,0,6.9,"[60, 125, 125, 0, 0, 0, 0, 6.9]",108.8848390679309
60,125,125,0,0,0,0,7.0,"[60, 125, 125, 0, 0, 0, 0, 7.0]",108.88913177908503
60,125,125,0,0,0,0,7.1000000000000005,"[60, 125, 125, 0, 0, 0, 0, 7.1000000000000005]",108.89341004377889
60,125,125,0,0,0,0,7.2,"[60, 125, 125, 0, 0, 0, 0, 7.2]",108.89752618922014
60,125,125,0,0,0,0,7.300000000000001,"[60, 125, 125, 0, 0, 0, 0, 7.300000000000001]",108.90272787420244
60,125,125,0,0,0,0,7.4,"[60, 125, 125, 0, 0, 0, 0, 7.4]",108.90662036879355
60,125,125,0,0,0,0,7.5,"[60, 125, 125, 0, 0, 0, 0, 7.5]",108.91054007291805
60,125,125,0,0,0,0,7.6000000000000005,"[60, 125, 125, 0, 0, 0, 0, 7.6000000000000005]",108.91649907315414
60,125,125,0,0,0,0,7.7,"[60, 125, 125, 0, 0, 0, 0, 7.7]",108.91701807254199
60,125,125,0,0,0,0,7.800000000000001,"[60, 125, 125, 0, 0, 0, 0, 7.800000000000001]",108.91961884301975
60,125,125,0,0,0,0,7.9,"[60, 125, 125, 0, 0, 0, 0, 7.9]",108.92367501208602
60,125,125,0,0,0,0,8.0,"[60, 125, 125, 0, 0, 0, 0, 8.0]",108.9280355625079
60,125,125,0,0,0,0,8.1,"[60, 125, 125, 0, 0, 0, 0, 8.1]",108.93078051656705
60,125,125,0,0,0,0,8.200000000000001,"[60, 125, 125, 0, 0, 0, 0, 8.200000000000001]",108.93677424830372
60,125,125,0,0,0,0,8.3,"[60, 125, 125, 0, 0, 0, 0, 8.3]",108.93933068246812
60,125,125,0,0,0,0,8.4,"[60, 125, 125, 0, 0, 0, 0, 8.4]",108.94113645759312
60,125,125,0,0,0,0,8.5,"[60, 125, 125, 0, 0, 0, 0, 8.5]",108.94555139683928
60,125,125,0,0,0,0,8.6,"[60, 125, 125, 0, 0, 0, 0, 8.6]",108.94876249768953
60,125,125,0,0,0,0,8.700000000000001,"[60, 125, 125, 0, 0, 0, 0, 8.700000000000001]",108.94876249768953
60,125,125,0,0,0,0,8.8,"[60, 125, 125, 0, 0, 0, 0, 8.8]",108.95369361521205
60,125,125,0,0,0,0,8.9,"[60, 125, 125, 0, 0, 0, 0, 8.9]",108.95646954430075
60,125,125,0,0,0,0,9.0,"[60, 125, 125, 0, 0, 0, 0, 9.0]",108.95745308381444
60,125,125,0,0,0,0,9.1,"[60, 125, 125, 0, 0, 0, 0, 9.1]",108.95936248895939
60,125,125,0,0,0,0,9.200000000000001,"[60, 125, 125, 0, 0, 0, 0, 9.200000000000001]",108.96508287549634
60,125,125,0,0,0,0,9.3,"[60, 125, 125, 0, 0, 0, 0, 9.3]",108.96644419587798
60,125,125,0,0,0,0,9.4,"[60, 125, 125, 0, 0, 0, 0, 9.4]",108.96992987118655
60,125,125,0,0,0,0,9.5,"[60, 125, 125, 0, 0, 0, 0, 9.5]",108.97301343795971
60,125,125,0,0,0,0,9.600000000000001,"[60, 125, 125, 0, 0, 0, 0, 9.600000000000001]",108.97422343679771
60,125,125,0,0,0,0,9.700000000000001,"[60, 125, 125, 0, 0, 0, 0, 9.700000000000001]",108.97533834417908
60,125,125,0,0,0,0,9.8,"[60, 125, 125, 0, 0, 0, 0, 9.8]",108.97833207784993
60,125,125,0,0,0,0,9.9,"[60, 125, 125, 0, 0, 0, 0, 9.9]",108.98149088502845
