depth,height,width,yaw,pitch,roll,taper_width,taper_height,chromosome,fitness
60,125,1.0,0,0,0,0,0,"[60, 125, 1.0, 0, 0, 0, 0, 0]",109.16146054098077
60,125,2.24,0,0,0,0,0,"[60, 125, 2.24, 0, 0, 0, 0, 0]",108.91188606736614
60,125,3.48,0,0,0,0,0,"[60, 125, 3.48, 0, 0, 0, 0, 0]",108.91188606736614
60,125,4.72,0,0,0,0,0,"[60, 125, 4.72, 0, 0, 0, 0, 0]",108.6613082792847
60,125,5.96,0,0,0,0,0,"[60, 125, 5.96, 0, 0, 0, 0, 0]",108.6613082792847
60,125,7.2,0,0,0,0,0,"[60, 125, 7.2, 0, 0, 0, 0, 0]",108.4097211144134
60,125,8.44,0,0,0,0,0,"[60, 125, 8.44, 0, 0, 0, 0, 0]",108.15711846149017
60,125,9.68,0,0,0,0,0,"[60, 125, 9.68, 0, 0, 0, 0, 0]",108.15711846149017
60,125,10.92,0,0,0,0,0,"[60, 125, 10.92, 0, 0, 0, 0, 0]",107.90349415981902
60,125,12.16,0,0,0,0,0,"[60, 125, 12.16, 0, 0, 0, 0, 0]",107.64884199876924
60,125,13.4,0,0,0,0,0,"[60, 125, 13.4, 0, 0, 0, 0, 0]",107.64884199876924
60,125,14.64,0,0,0,0,0,"[60, 125, 14.64, 0, 0, 0, 0, 0]",107.3931557172685
60,125,15.879999999999999,0,0,0,0,0,"[60, 125, 15.879999999999999, 0, 0, 0, 0, 0]",107.3931557172685
60,125,17.12,0,0,0,0,0,"[60, 125, 17.12, 0, 0, 0, 0, 0]",107.13642900328963
60,125,18.36,0,0,0,0,0,"[60, 125, 18.36, 0, 0, 0, 0, 0]",106.87865549333125
60,125,19.6,0,0,0,0,0,"[60, 125, 19.6, 0, 0, 0, 0, 0]",106.87865549333125
60,125,20.84,0,0,0,0,0,"[60, 125, 20.84, 0, 0, 0, 0, 0]",106.61982877189192
60,125,22.08,0,0,0,0,0,"[60, 125, 22.08, 0, 0, 0, 0, 0]",106.35994237093801
60,125,23.32,0,0,0,0,0,"[60, 125, 23.32, 0, 0, 0, 0, 0]",106.35994237093801
60,125,24.56,0,0,0,0,0,"[60, 125, 24.56, 0, 0, 0, 0, 0]",106.0989897693648
60,125,25.8,0,0,0,0,0,"[60, 125, 25.8, 0, 0, 0, 0, 0]",106.0989897693648
60,125,27.04,0,0,0,0,0,"[60, 125, 27.04, 0, 0, 0, 0, 0]",105.83696439245111
60,125,28.28,0,0,0,0,0,"[60, 125, 28.28, 0, 0, 0, 0, 0]",105.57385961130706
60,125,29.52,0,0,0,0,0,"[60, 125, 29.52, 0, 0, 0, 0, 0]",105.57385961130706
60,125,30.759999999999998,0,0,0,0,0,"[60, 125, 30.759999999999998, 0, 0, 0, 0, 0]",105.30966874231518
60,125,32.0,0,0,0,0,0,"[60, 125, 32.0, 0, 0, 0, 0, 0]",105.04438504656427
60,125,33.24,0,0,0,0,0,"[60, 125, 33.24, 0, 0, 0, 0, 0]",105.04438504656427
60,125,34.48,0,0,0,0,0,"[60, 125, 34.48, 0, 0, 0, 0, 0]",104.77800172927658
60,125,35.72,0,0,0,0,0,"[60, 125, 35.72, 0, 0, 0, 0, 0]",104.77800172927658
60,125,36.96,0,0,0,0,0,"[60, 125, 36.96, 0, 0, 0, 0, 0]",104.51051193922754
60,125,38.2,0,0,0,0,0,"[60, 125, 38.2, 0, 0, 0, 0, 0]",104.24190876815855
60,125,39.44,0,0,0,0,0,"[60, 125, 39.44, 0, 0, 0, 0, 0]",104.24190876815855
60,125,40.68,0,0,0,0,0,"[60, 125, 40.68, 0, 0, 0, 0, 0]",103.97218525018208
60,125,41.92,0,0,0,0,0,"[60, 125, 41.92, 0, 0, 0, 0, 0]",103.97218525018208
60,125,43.16,0,0,0,0,0,"[60, 125, 43.16, 0, 0, 0, 0, 0]",103.70133436117959
60,125,44.4,0,0,0,0,0,"[60, 125, 44.4, 0, 0, 0, 0, 0]",103.42937053483685
60,125,45.64,0,0,0,0,0,"[60, 125, 45.64, 0, 0, 0, 0, 0]",103.42937053483685
60,125,46.88,0,0,0,0,0,"[60, 125, 46.88, 0, 0, 0, 0, 0]",103.15633989873812
60,125,48.12,0,0,0,0,0,"[60, 125, 48.12, 0, 0, 0, 0, 0]",102.8823010255093
60,125,49.36,0,0,0,0,0,"[60, 125, 49.36, 0, 0, 0, 0, 0]",102.8823010255093
60,125,50.6,0,0,0,0,0,"[60, 125, 50.6, 0, 0, 0, 0, 0]",102.60731919974401
60,125,51.839999999999996,0,0,0,0,0,"[60, 125, 51.839999999999996, 0, 0, 0, 0, 0]",102.60731919974401
60,125,53.08,0,0,0,0,0,"[60, 125, 53.08, 0, 0, 0, 0, 0]",102.33146260676145
60,125,54.32,0,0,0,0,0,"[60, 125, 54.32, 0, 0, 0, 0, 0]",102.05479926095303
60,125,55.56,0,0,0,0,0,"[60, 125, 55.56, 0, 0, 0, 0, 0]",102.05479926095303
60,125,56.8,0,0,0,0,0,"[60, 125, 56.8, 0, 0, 0, 0, 0]",101.77740249030717
60,125,58.04,0,0,0,0,0,"[60, 125, 58.04, 0, 0, 0, 0, 0]",101.49934707585844
