depth,height,width,yaw,pitch,roll,taper_width,taper_height,chromosome,fitness
60,125,125,1.0,0,0,0,0,"[60, 125, 125, 1.0, 0, 0, 0, 0]",92.64048931702769
60,125,125,2.79,0,0,0,0,"[60, 125, 125, 2.79, 0, 0, 0, 0]",92.73715099670595
60,125,125,4.58,0,0,0,0,"[60, 125, 125, 4.58, 0, 0, 0, 0]",92.78442776531554
60,125,125,6.37,0,0,0,0,"[60, 125, 125, 6.37, 0, 0, 0, 0]",92.9218151585664
60,125,125,8.16,0,0,0,0,"[60, 125, 125, 8.16, 0, 0, 0, 0]",93.01706914799468
60,125,125,9.95,0,0,0,0,"[60, 125, 125, 9.95, 0, 0, 0, 0]",93.28479256476274
60,125,125,11.74,0,0,0,0,"[60, 125, 125, 11.74, 0, 0, 0, 0]",93.4107465366614
60,125,125,13.530000000000001,0,0,0,0,"[60, 125, 125, 13.530000000000001, 0, 0, 0, 0]",93.79185725687722
60,125,125,15.32,0,0,0,0,"[60, 125, 125, 15.32, 0, 0, 0, 0]",93.98497218461563
60,125,125,17.11,0,0,0,0,"[60, 125, 125, 17.11, 0, 0, 0, 0]",94.28343546719566
60,125,125,18.9,0,0,0,0,"[60, 125, 125, 18.9, 0, 0, 0, 0]",94.63854730649516
60,125,125,20.69,0,0,0,0,"[60, 125, 125, 20.69, 0, 0, 0, 0]",94.9400530322586
60,125,125,22.48,0,0,0,0,"[60, 125, 125, 22.48, 0, 0, 0, 0]",95.3129678782699
60,125,125,24.27,0,0,0,0,"[60, 125, 125, 24.27, 0, 0, 0, 0]",95.6503295429392
60,125,125,26.060000000000002,0,0,0,0,"[60, 125, 125, 26.060000000000002, 0, 0, 0, 0]",96.04677136498339
60,125,125,27.85,0,0,0,0,"[60, 125, 125, 27.85, 0, 0, 0, 0]",96.32193309813027
60,125,125,29.64,0,0,0,0,"[60, 125, 125, 29.64, 0, 0, 0, 0]",96.66299639193858
60,125,125,31.43,0,0,0,0,"[60, 125, 125, 31.43, 0, 0, 0, 0]",96.96723107009555
60,125,125,33.22,0,0,0,0,"[60, 125, 125, 33.22, 0, 0, 0, 0]",97.2618955006344
60,125,125,35.01,0,0,0,0,"[60, 125, 125, 35.01, 0, 0, 0, 0]",97.53486666504847
60,125,125,36.8,0,0,0,0,"[60, 125, 125, 36.8, 0, 0, 0, 0]",97.7931107352018
60,125,125,38.59,0,0,0,0,"[60, 125, 125, 38.59, 0, 0, 0, 0]",98.0100505300914
60,125,125,40.38,0,0,0,0,"[60, 125, 125, 40.38, 0, 0, 0, 0]",98.2352726717476
60,125,125,42.17,0,0,0,0,"[60, 125, 125, 42.17, 0, 0, 0, 0]",98.40857531859166
60,125,125,43.96,0,0,0,0,"[60, 125, 125, 43.96, 0, 0, 0, 0]",98.63387137314496
60,125,125,45.75,0,0,0,0,"[60, 125, 125, 45.75, 0, 0, 0, 0]",98.75653001340027
60,125,125,47.54,0,0,0,0,"[60, 125, 125, 47.54, 0, 0, 0, 0]",98.80705366240377
60,125,125,49.33,0,0,0,0,"[60, 125, 125, 49.33, 0, 0, 0, 0]",98.88698384330789
60,125,125,51.120000000000005,0,0,0,0,"[60, 125, 125, 51.120000000000005, 0, 0, 0, 0]",99.03368261452741
60,125,125,52.910000000000004,0,0,0,0,"[60, 125, 125, 52.910000000000004, 0, 0, 0, 0]",99.06129631679846
60,125,125,54.7,0,0,0,0,"[60, 125, 125, 54.7, 0, 0, 0, 0]",99.06164325152561
60,125,125,56.49,0,0,0,0,"[60, 125, 125, 56.49, 0, 0, 0, 0]",99.17475829588004
60,125,125,58.28,0,0,0,0,"[60, 125, 125, 58.28, 0, 0, 0, 0]",99.24858963726405
60,125,125,60.07,0,0,0,0,"[60, 125, 125, 60.07, 0, 0, 0, 0]",99.22981033861564
60,125,125,61.86,0,0,0,0,"[60, 125, 125, 61.86, 0, 0, 0, 0]",99.30074968757734
60,125,125,63.65,0,0,0,0,"[60, 125, 125, 63.65, 0, 0, 0, 0]",99.37933520132015
60,125,125,65.44,0,0,0,0,"[60, 125, 125, 65.44, 0, 0, 0, 0]",99.4378790709514
60,125,125,67.23,0,0,0,0,"[60, 125, 125, 67.23, 0, 0, 0, 0]",99.48624011028114
60,125,125,69.02,0,0,0,0,"[60, 125, 125, 69.02, 0, 0, 0, 0]",99.51017427906685
60,125,125,70.81,0,0,0,0,"[60, 125, 125, 70.81, 0, 0, 0, 0]",99.55535822311322
60,125,125,72.6,0,0,0,0,"[60, 125, 125, 72.6, 0, 0, 0, 0]",99.6797655335323
60,125,125,74.39,0,0,0,0,"[60, 125, 125, 74.39, 0, 0, 0, 0]",99.72577555482047
60,125,125,76.18,0,0,0,0,"[60, 125, 125, 76.18, 0, 0, 0, 0]",99.92573843455402
60,125,125,77.97,0,0,0,0,"[60, 125, 125, 77.97, 0, 0, 0, 0]",99.99868384836105
60,125,125,79.76,0,0,0,0,"[60, 125, 125, 79.76, 0, 0, 0, 0]",100.04193271376032
60,125,125,81.55,0,0,0,0,"[60, 125, 125, 81.55, 0, 0, 0, 0]",100.22727273743587
60,125,125,83.34,0,0,0,0,"[60, 125, 125, 83.34, 0, 0, 0, 0]",100.3954166691785
60,125,125,85.13,0,0,0,0,"[60, 125, 125, 85.13, 0, 0, 0, 0]",100.57465468084561
60,125,125,86.92,0,0,0,0,"[60, 125, 125, 86.92, 0, 0, 0, 0]",100.8400158475163
60,125,125,88.71000000000001,0,0,0,0,"[60, 125, 125, 88.71000000000001, 0, 0, 0, 0]",101.1186856554101
60,125,125,90.5,0,0,0,0,"[60, 125, 125, 90.5, 0, 0, 0, 0]",101.37129680889079
60,125,125,92.29,0,0,0,0,"[60, 125, 125, 92.29, 0, 0, 0, 0]",101.56003970658516
60,125,125,94.08,0,0,0,0,"[60, 125, 125, 94.08, 0, 0, 0, 0]",101.81577869199518
60,125,125,95.87,0,0,0,0,"[60, 125, 125, 95.87, 0, 0, 0, 0]",102.08789115354418
60,125,125,97.66,0,0,0,0,"[60, 125, 125, 97.66, 0, 0, 0, 0]",102.53249059520462
60,125,125,99.45,0,0,0,0,"[60, 125, 125, 99.45, 0, 0, 0, 0]",102.83927689309002
60,125,125,101.24000000000001,0,0,0,0,"[60, 125, 125, 101.24000000000001, 0, 0, 0, 0]",103.21426440164473
60,125,125,103.03,0,0,0,0,"[60, 125, 125, 103.03, 0, 0, 0, 0]",103.57185644389514
60,125,125,104.82000000000001,0,0,0,0,"[60, 125, 125, 104.82000000000001, 0, 0, 0, 0]",103.94408227151345
60,125,125,106.61,0,0,0,0,"[60, 125, 125, 106.61, 0, 0, 0, 0]",104.40454928059009
60,125,125,108.4,0,0,0,0,"[60, 125, 125, 108.4, 0, 0, 0, 0]",104.79993029361162
60,125,125,110.19,0,0,0,0,"[60, 125, 125, 110.19, 0, 0, 0, 0]",105.25414369609146
60,125,125,111.98,0,0,0,0,"[60, 125, 125, 111.98, 0, 0, 0, 0]",105.7746925417035
60,125,125,113.77,0,0,0,0,"[60, 125, 125, 113.77, 0, 0, 0, 0]",106.16672764057012
60,125,125,115.56,0,0,0,0,"[60, 125, 125, 115.56, 0, 0, 0, 0]",106.59169116986664
60,125,125,117.35000000000001,0,0,0,0,"[60, 125, 125, 117.35000000000001, 0, 0, 0, 0]",107.09125415888732
60,125,125,119.14,0,0,0,0,"[60, 125, 125, 119.14, 0, 0, 0, 0]",107.56837747227195
60,125,125,120.93,0,0,0,0,"[60, 125, 125, 120.93, 0, 0, 0, 0]",107.9852638639392
60,125,125,122.72,0,0,0,0,"[60, 125, 125, 122.72, 0, 0, 0, 0]",108.47331487108664
60,125,125,124.51,0,0,0,0,"[60, 125, 125, 124.51, 0, 0, 0, 0]",108.94177760135668
60,125,125,126.3,0,0,0,0,"[60, 125, 125, 126.3, 0, 0, 0, 0]",109.35087625875663
60,125,125,128.09,0,0,0,0,"[60, 125, 125, 128.09, 0, 0, 0, 0]",109.86682757036125
60,125,125,129.88,0,0,0,0,"[60, 125, 125, 129.88, 0, 0, 0, 0]",110.31066069438336
60,125,125,131.67000000000002,0,0,0,0,"[60, 125, 125, 131.67000000000002, 0, 0, 0, 0]",110.692420387438
60,125,125,133.46,0,0,0,0,"[60, 125, 125, 133.46, 0, 0, 0, 0]",111.11726606392543
60,125,125,135.25,0,0,0,0,"[60, 125, 125, 135.25, 0, 0, 0, 0]",111.6157436308979
60,125,125,137.04,0,0,0,0,"[60, 125, 125, 137.04, 0, 0, 0, 0]",111.95507392729374
60,125,125,138.83,0,0,0,0,"[60, 125, 125, 138.83, 0, 0, 0, 0]",112.28321960417486
60,125,125,140.62,0,0,0,0,"[60, 125, 125, 140.62, 0, 0, 0, 0]",112.77454010139274
60,125,125,142.41,0,0,0,0,"[60, 125, 125, 142.41, 0, 0, 0, 0]",113.2069800247883
60,125,125,144.2,0,0,0,0,"[60, 125, 125, 144.2, 0, 0, 0, 0]",113.5210297853803
60,125,125,145.99,0,0,0,0,"[60, 125, 125, 145.99, 0, 0, 0, 0]",114.01005356335844
60,125,125,147.78,0,0,0,0,"[60, 125, 125, 147.78, 0, 0, 0, 0]",114.32969299554314
60,125,125,149.57,0,0,0,0,"[60, 125, 125, 149.57, 0, 0, 0, 0]",114.78953706281574
60,125,125,151.36,0,0,0,0,"[60, 125, 125, 151.36, 0, 0, 0, 0]",115.26892591593037
60,125,125,153.15,0,0,0,0,"[60, 125, 125, 153.15, 0, 0, 0, 0]",115.73459244391765
60,125,125,154.94,0,0,0,0,"[60, 125, 125, 154.94, 0, 0, 0, 0]",116.0842037795734
60,125,125,156.73,0,0,0,0,"[60, 125, 125, 156.73, 0, 0, 0, 0]",116.5234131787712
60,125,125,158.52,0,0,0,0,"[60, 125, 125, 158.52, 0, 0, 0, 0]",116.97097953290502
60,125,125,160.31,0,0,0,0,"[60, 125, 125, 160.31, 0, 0, 0, 0]",117.40740777492661
60,125,125,162.1,0,0,0,0,"[60, 125, 125, 162.1, 0, 0, 0, 0]",117.7458666066313
60,125,125,163.89000000000001,0,0,0,0,"[60, 125, 125, 163.89000000000001, 0, 0, 0, 0]",118.15764714266031
60,125,125,165.68,0,0,0,0,"[60, 125, 125, 165.68, 0, 0, 0, 0]",118.60056535363108
60,125,125,167.47,0,0,0,0,"[60, 125, 125, 167.47, 0, 0, 0, 0]",118.97729516343219
60,125,125,169.26,0,0,0,0,"[60, 125, 125, 169.26, 0, 0, 0, 0]",119.37913942369372
60,125,125,171.05,0,0,0,0,"[60, 125, 125, 171.05, 0, 0, 0, 0]",119.75245430159262
60,125,125,172.84,0,0,0,0,"[60, 125, 125, 172.84, 0, 0, 0, 0]",120.06844618418913
60,125,125,174.63,0,0,0,0,"[60, 125, 125, 174.63, 0, 0, 0, 0]",120.38748331126548
60,125,125,176.42000000000002,0,0,0,0,"[60, 125, 125, 176.42000000000002, 0, 0, 0, 0]",120.66388051417343
60,125,125,178.21,0,0,0,0,"[60, 125, 125, 178.21, 0, 0, 0, 0]",120.90409095514443
