generation,best_fitness,current_min_fitness,best_chromosome,avg_fitness,std_fitness,diversity
0,67.35270011989165,67.35270011989165,[ 22  52  60  96 131   0   2],77.87704192583483,4.4037021297959615,100.00069988144583
1,67.35270011989165,67.35270011989165,[ 22  52  60  96 131   0   2],75.70141983636003,4.6109540771572055,106.6701666871034
2,64.38980186621046,64.38980186621046,[ 49  49  47 121 108   1   0],75.11772332221952,4.451270198281737,109.27211728591871
3,59.5433918059683,59.5433918059683,[55 49 47 37 36  1  0],73.65824543890395,4.076397751451468,107.52372415749892
4,59.5433918059683,59.5433918059683,[55 49 47 37 36  1  0],74.3498601358051,4.5645756541504525,101.8000275480579
5,59.5433918059683,59.5433918059683,[55 49 47 37 36  1  0],74.17245866076955,4.0252347146561425,100.47511714250987
6,59.5433918059683,59.5433918059683,[55 49 47 37 36  1  0],73.7811005921015,5.230386230491944,106.8690611042251
7,59.5433918059683,59.5433918059683,[55 49 47 37 36  1  0],73.36943319648658,4.327795095310333,108.96470195650838
8,59.5433918059683,59.5433918059683,[55 49 47 37 36  1  0],74.4461085841617,4.755593427457087,100.02814534146833
9,59.117897682791835,59.117897682791835,[ 57  46  55 136 179   1   0],73.93956404693239,5.638719795540215,100.46347107570136
10,59.02907609188802,59.02907609188802,[ 57  46  55 136 174   1   0],73.67693366339385,4.900866837273731,109.7424734551492
11,59.02907609188802,59.02907609188802,[ 57  46  55 136 174   1   0],73.1319102846872,4.2555902724180905,116.44931734487254
12,58.75100917368708,58.75100917368708,[46 49 61 37 12  1  0],72.19996999426935,4.939739160943812,116.34129325341218
13,58.75100917368708,58.75100917368708,[46 49 61 37 12  1  0],72.59322035453873,4.567868958254377,111.98288621255044
14,58.75100917368708,58.75100917368708,[46 49 61 37 12  1  0],72.34778358095093,4.729826286951884,105.75929788501583
15,58.75100917368708,58.75100917368708,[46 49 61 37 12  1  0],72.41723523389004,4.81580004096734,109.35164090094203
16,58.75100917368708,58.75100917368708,[46 49 61 37 12  1  0],72.07187293732775,4.246214832022645,109.22905510391314
17,58.75100917368708,58.75100917368708,[46 49 61 37 12  1  0],72.4734735833752,4.39812270590537,110.26694629403407
18,55.41840057092699,55.41840057092699,[ 55  55  61 168 179   1   0],71.54386734003003,4.701861863952956,104.62460930293837
19,55.41840057092699,55.41840057092699,[ 55  55  61 168 179   1   0],71.69953397276196,5.092648482944536,108.60045920157128
20,55.05204985648398,55.05204985648398,[ 55  57  61 168 179   1   0],70.24837387046546,5.713482650252598,114.16233252215417
21,55.05204985648398,55.05204985648398,[ 55  57  61 168 179   1   0],71.18951730985394,4.795489697295481,104.64223698417976
22,55.05204985648398,55.05204985648398,[ 55  57  61 168 179   1   0],70.88660228739302,4.215945404882727,108.43595133666311
23,55.05204985648398,55.05204985648398,[ 55  57  61 168 179   1   0],70.93766445827512,4.914717378291497,108.50182492685025
24,55.05204985648398,55.05204985648398,[ 55  57  61 168 179   1   0],70.02956116657852,4.798627011280743,105.761784982531
25,55.05204985648398,55.05204985648398,[ 55  57  61 168 179   1   0],70.52375127353896,5.383571187339858,112.03472028342675
26,55.05204985648398,55.05204985648398,[ 55  57  61 168 179   1   0],69.89686895405585,5.283309299586674,111.23276405109043
27,55.05204985648398,55.05204985648398,[ 55  57  61 168 179   1   0],70.26652945272298,5.4148726783838175,110.76053279413377
28,55.05204985648398,55.05204985648398,[ 55  57  61 168 179   1   0],70.79292605925477,5.162021274220156,114.54708417350547
29,55.05204985648398,55.05204985648398,[ 55  57  61 168 179   1   0],70.0057333278508,4.68789429482602,114.8905997157508
30,54.71579442374575,54.71579442374575,[ 55  59  61 168 179   1   0],69.20942816370972,5.392805974166652,111.52675844298261
31,54.71579442374575,54.71579442374575,[ 55  59  61 168 179   1   0],69.1554350516677,4.883914085037125,111.36343280212498
32,54.71579442374575,54.71579442374575,[ 55  59  61 168 179   1   0],68.93998527332477,5.461920306458729,115.16579551705526
33,54.71579442374575,54.71579442374575,[ 55  59  61 168 179   1   0],69.65738819982512,5.90977183565054,106.58135438624184
34,54.71579442374575,54.71579442374575,[ 55  59  61 168 179   1   0],69.233455570434,6.971190784515467,115.47408182926951
35,54.71579442374575,54.71579442374575,[ 55  59  61 168 179   1   0],69.56522443679863,5.649628468781817,109.3246052560785
36,54.71579442374575,54.71579442374575,[ 55  59  61 168 179   1   0],69.26777997655314,5.432953249688984,117.3439721890314
37,54.71579442374575,54.71579442374575,[ 55  59  61 168 179   1   0],69.3580259116709,5.651907798590515,110.02917837456805
38,53.89807434707896,53.89807434707896,[ 55  57  61 168 148   1   0],69.22352295765592,6.233981285361088,123.61476023456538
39,53.89807434707896,53.89807434707896,[ 55  57  61 168 148   1   0],65.46260680202778,6.087414378935681,119.37580176783199
40,53.816558745766656,53.816558745766656,[ 55  57  61 168 139   1   0],61.98384394506415,6.707426833323045,117.41835280983949
41,53.53679440553918,53.53679440553918,[ 55  59  61 168 147   1   0],60.266986806326656,6.816988918955892,110.60004196172679
42,53.48137934881405,53.48137934881405,[ 55  59  61 168 139   1   0],58.72378218654453,6.468443032210708,100.14888324903687
43,53.48137934881405,53.48137934881405,[ 55  59  61 168 139   1   0],57.614109495079994,6.333028538136153,76.35706690310774
44,53.380760989448056,53.380760989448056,[ 55  59  61 170 139   1   0],55.86127431616143,4.753563344739586,53.11325466068046
45,53.380760989448056,53.380760989448056,[ 55  59  61 170 139   1   0],59.77617419891252,6.948405151925854,102.88081987758406
46,53.380760989448056,53.380760989448056,[ 55  59  61 170 139   1   0],56.87345165663421,5.9582707691108014,82.23680984536072
47,53.380760989448056,53.380760989448056,[ 55  59  61 170 139   1   0],55.84387415893355,5.3236143562918565,44.22272426759087
