depth,height,width,yaw,pitch,roll,taper_width,taper_height,chromosome,fitness
60,60,60,0,1.0,0,0,0,"[60, 60, 60, 0, 1.0, 0, 0, 0]",107.12526737352829
60,60,60,0,2.79,0,0,0,"[60, 60, 60, 0, 2.79, 0, 0, 0]",107.12425676490628
60,60,60,0,4.58,0,0,0,"[60, 60, 60, 0, 4.58, 0, 0, 0]",107.11796757829359
60,60,60,0,6.37,0,0,0,"[60, 60, 60, 0, 6.37, 0, 0, 0]",107.19169504571055
60,60,60,0,8.16,0,0,0,"[60, 60, 60, 0, 8.16, 0, 0, 0]",107.19426034523445
60,60,60,0,9.95,0,0,0,"[60, 60, 60, 0, 9.95, 0, 0, 0]",107.28097030671515
60,60,60,0,11.74,0,0,0,"[60, 60, 60, 0, 11.74, 0, 0, 0]",107.4273536768406
60,60,60,0,13.530000000000001,0,0,0,"[60, 60, 60, 0, 13.530000000000001, 0, 0, 0]",107.44472045095861
60,60,60,0,15.32,0,0,0,"[60, 60, 60, 0, 15.32, 0, 0, 0]",107.60339737439747
60,60,60,0,17.11,0,0,0,"[60, 60, 60, 0, 17.11, 0, 0, 0]",107.6826301584085
60,60,60,0,18.9,0,0,0,"[60, 60, 60, 0, 18.9, 0, 0, 0]",107.84122240736951
60,60,60,0,20.69,0,0,0,"[60, 60, 60, 0, 20.69, 0, 0, 0]",107.97462457327478
60,60,60,0,22.48,0,0,0,"[60, 60, 60, 0, 22.48, 0, 0, 0]",108.1412011833981
60,60,60,0,24.27,0,0,0,"[60, 60, 60, 0, 24.27, 0, 0, 0]",108.34032260950727
60,60,60,0,26.060000000000002,0,0,0,"[60, 60, 60, 0, 26.060000000000002, 0, 0, 0]",108.50671152214625
60,60,60,0,27.85,0,0,0,"[60, 60, 60, 0, 27.85, 0, 0, 0]",108.64370206786225
60,60,60,0,29.64,0,0,0,"[60, 60, 60, 0, 29.64, 0, 0, 0]",108.84707305663852
60,60,60,0,31.43,0,0,0,"[60, 60, 60, 0, 31.43, 0, 0, 0]",108.9933881280314
60,60,60,0,33.22,0,0,0,"[60, 60, 60, 0, 33.22, 0, 0, 0]",109.1721108505308
60,60,60,0,35.01,0,0,0,"[60, 60, 60, 0, 35.01, 0, 0, 0]",109.32361904058956
60,60,60,0,36.8,0,0,0,"[60, 60, 60, 0, 36.8, 0, 0, 0]",109.52912417832812
60,60,60,0,38.59,0,0,0,"[60, 60, 60, 0, 38.59, 0, 0, 0]",109.68066649540809
60,60,60,0,40.38,0,0,0,"[60, 60, 60, 0, 40.38, 0, 0, 0]",109.82103788188397
60,60,60,0,42.17,0,0,0,"[60, 60, 60, 0, 42.17, 0, 0, 0]",110.0142763344146
60,60,60,0,43.96,0,0,0,"[60, 60, 60, 0, 43.96, 0, 0, 0]",110.20935687810567
60,60,60,0,45.75,0,0,0,"[60, 60, 60, 0, 45.75, 0, 0, 0]",110.31821786134773
60,60,60,0,47.54,0,0,0,"[60, 60, 60, 0, 47.54, 0, 0, 0]",110.44984208105637
60,60,60,0,49.33,0,0,0,"[60, 60, 60, 0, 49.33, 0, 0, 0]",110.57626492237478
60,60,60,0,51.120000000000005,0,0,0,"[60, 60, 60, 0, 51.120000000000005, 0, 0, 0]",110.71306895630238
60,60,60,0,52.910000000000004,0,0,0,"[60, 60, 60, 0, 52.910000000000004, 0, 0, 0]",110.8362072910304
60,60,60,0,54.7,0,0,0,"[60, 60, 60, 0, 54.7, 0, 0, 0]",110.97477543569505
60,60,60,0,56.49,0,0,0,"[60, 60, 60, 0, 56.49, 0, 0, 0]",111.08031667221823
60,60,60,0,58.28,0,0,0,"[60, 60, 60, 0, 58.28, 0, 0, 0]",111.23176863334177
60,60,60,0,60.07,0,0,0,"[60, 60, 60, 0, 60.07, 0, 0, 0]",111.3342158601675
60,60,60,0,61.86,0,0,0,"[60, 60, 60, 0, 61.86, 0, 0, 0]",111.44144137602487
60,60,60,0,63.65,0,0,0,"[60, 60, 60, 0, 63.65, 0, 0, 0]",111.57906709473065
60,60,60,0,65.44,0,0,0,"[60, 60, 60, 0, 65.44, 0, 0, 0]",111.69104733670807
60,60,60,0,67.23,0,0,0,"[60, 60, 60, 0, 67.23, 0, 0, 0]",111.88171064202697
60,60,60,0,69.02,0,0,0,"[60, 60, 60, 0, 69.02, 0, 0, 0]",112.01778298527466
60,60,60,0,70.81,0,0,0,"[60, 60, 60, 0, 70.81, 0, 0, 0]",112.2314516798572
60,60,60,0,72.6,0,0,0,"[60, 60, 60, 0, 72.6, 0, 0, 0]",112.39250566516665
60,60,60,0,74.39,0,0,0,"[60, 60, 60, 0, 74.39, 0, 0, 0]",112.56480986043178
60,60,60,0,76.18,0,0,0,"[60, 60, 60, 0, 76.18, 0, 0, 0]",112.7009245360914
60,60,60,0,77.97,0,0,0,"[60, 60, 60, 0, 77.97, 0, 0, 0]",112.96783230656436
60,60,60,0,79.76,0,0,0,"[60, 60, 60, 0, 79.76, 0, 0, 0]",113.14664292115091
60,60,60,0,81.55,0,0,0,"[60, 60, 60, 0, 81.55, 0, 0, 0]",113.35894368625907
60,60,60,0,83.34,0,0,0,"[60, 60, 60, 0, 83.34, 0, 0, 0]",113.6350723821846
60,60,60,0,85.13,0,0,0,"[60, 60, 60, 0, 85.13, 0, 0, 0]",113.89271932459073
60,60,60,0,86.92,0,0,0,"[60, 60, 60, 0, 86.92, 0, 0, 0]",114.07505420179237
60,60,60,0,88.71000000000001,0,0,0,"[60, 60, 60, 0, 88.71000000000001, 0, 0, 0]",114.31034321534777
60,60,60,0,90.5,0,0,0,"[60, 60, 60, 0, 90.5, 0, 0, 0]",114.70036440165799
60,60,60,0,92.29,0,0,0,"[60, 60, 60, 0, 92.29, 0, 0, 0]",114.92141886529885
60,60,60,0,94.08,0,0,0,"[60, 60, 60, 0, 94.08, 0, 0, 0]",115.19065691386632
60,60,60,0,95.87,0,0,0,"[60, 60, 60, 0, 95.87, 0, 0, 0]",115.38708589254055
60,60,60,0,97.66,0,0,0,"[60, 60, 60, 0, 97.66, 0, 0, 0]",115.6152367235182
60,60,60,0,99.45,0,0,0,"[60, 60, 60, 0, 99.45, 0, 0, 0]",115.86131217072585
60,60,60,0,101.24000000000001,0,0,0,"[60, 60, 60, 0, 101.24000000000001, 0, 0, 0]",116.07872464181295
60,60,60,0,103.03,0,0,0,"[60, 60, 60, 0, 103.03, 0, 0, 0]",116.31428532927842
60,60,60,0,104.82000000000001,0,0,0,"[60, 60, 60, 0, 104.82000000000001, 0, 0, 0]",116.61984932510535
60,60,60,0,106.61,0,0,0,"[60, 60, 60, 0, 106.61, 0, 0, 0]",116.82378469889963
60,60,60,0,108.4,0,0,0,"[60, 60, 60, 0, 108.4, 0, 0, 0]",117.02595031405608
60,60,60,0,110.19,0,0,0,"[60, 60, 60, 0, 110.19, 0, 0, 0]",117.23181464212104
60,60,60,0,111.98,0,0,0,"[60, 60, 60, 0, 111.98, 0, 0, 0]",117.37852696313314
60,60,60,0,113.77,0,0,0,"[60, 60, 60, 0, 113.77, 0, 0, 0]",117.50568629769741
60,60,60,0,115.56,0,0,0,"[60, 60, 60, 0, 115.56, 0, 0, 0]",117.6206981576955
60,60,60,0,117.35000000000001,0,0,0,"[60, 60, 60, 0, 117.35000000000001, 0, 0, 0]",117.82132440673233
60,60,60,0,119.14,0,0,0,"[60, 60, 60, 0, 119.14, 0, 0, 0]",117.98439535109918
60,60,60,0,120.93,0,0,0,"[60, 60, 60, 0, 120.93, 0, 0, 0]",118.05551693090456
60,60,60,0,122.72,0,0,0,"[60, 60, 60, 0, 122.72, 0, 0, 0]",118.22514484615743
60,60,60,0,124.51,0,0,0,"[60, 60, 60, 0, 124.51, 0, 0, 0]",118.28202354219988
60,60,60,0,126.3,0,0,0,"[60, 60, 60, 0, 126.3, 0, 0, 0]",118.33277822076289
60,60,60,0,128.09,0,0,0,"[60, 60, 60, 0, 128.09, 0, 0, 0]",118.50343508470411
60,60,60,0,129.88,0,0,0,"[60, 60, 60, 0, 129.88, 0, 0, 0]",118.6382472250267
60,60,60,0,131.67000000000002,0,0,0,"[60, 60, 60, 0, 131.67000000000002, 0, 0, 0]",118.68103364866073
60,60,60,0,133.46,0,0,0,"[60, 60, 60, 0, 133.46, 0, 0, 0]",118.81376059315569
60,60,60,0,135.25,0,0,0,"[60, 60, 60, 0, 135.25, 0, 0, 0]",118.97225609900084
60,60,60,0,137.04,0,0,0,"[60, 60, 60, 0, 137.04, 0, 0, 0]",119.00333144426423
60,60,60,0,138.83,0,0,0,"[60, 60, 60, 0, 138.83, 0, 0, 0]",119.12736767286073
60,60,60,0,140.62,0,0,0,"[60, 60, 60, 0, 140.62, 0, 0, 0]",119.24944176392992
60,60,60,0,142.41,0,0,0,"[60, 60, 60, 0, 142.41, 0, 0, 0]",119.30116689081692
60,60,60,0,144.2,0,0,0,"[60, 60, 60, 0, 144.2, 0, 0, 0]",119.44542527522617
60,60,60,0,145.99,0,0,0,"[60, 60, 60, 0, 145.99, 0, 0, 0]",119.56112731307097
60,60,60,0,147.78,0,0,0,"[60, 60, 60, 0, 147.78, 0, 0, 0]",119.6764219946046
60,60,60,0,149.57,0,0,0,"[60, 60, 60, 0, 149.57, 0, 0, 0]",119.81024650404987
60,60,60,0,151.36,0,0,0,"[60, 60, 60, 0, 151.36, 0, 0, 0]",119.84831757153675
60,60,60,0,153.15,0,0,0,"[60, 60, 60, 0, 153.15, 0, 0, 0]",119.95474977521626
60,60,60,0,154.94,0,0,0,"[60, 60, 60, 0, 154.94, 0, 0, 0]",120.07850149326009
60,60,60,0,156.73,0,0,0,"[60, 60, 60, 0, 156.73, 0, 0, 0]",120.19315865154681
60,60,60,0,158.52,0,0,0,"[60, 60, 60, 0, 158.52, 0, 0, 0]",120.28901765685748
60,60,60,0,160.31,0,0,0,"[60, 60, 60, 0, 160.31, 0, 0, 0]",120.31768957474404
60,60,60,0,162.1,0,0,0,"[60, 60, 60, 0, 162.1, 0, 0, 0]",120.42133178037761
60,60,60,0,163.89000000000001,0,0,0,"[60, 60, 60, 0, 163.89000000000001, 0, 0, 0]",120.51639819339442
60,60,60,0,165.68,0,0,0,"[60, 60, 60, 0, 165.68, 0, 0, 0]",120.59558241852342
60,60,60,0,167.47,0,0,0,"[60, 60, 60, 0, 167.47, 0, 0, 0]",120.67487263258485
60,60,60,0,169.26,0,0,0,"[60, 60, 60, 0, 169.26, 0, 0, 0]",120.75272863251186
60,60,60,0,171.05,0,0,0,"[60, 60, 60, 0, 171.05, 0, 0, 0]",120.81935854413558
60,60,60,0,172.84,0,0,0,"[60, 60, 60, 0, 172.84, 0, 0, 0]",120.87554763944655
60,60,60,0,174.63,0,0,0,"[60, 60, 60, 0, 174.63, 0, 0, 0]",120.92755090856647
60,60,60,0,176.42000000000002,0,0,0,"[60, 60, 60, 0, 176.42000000000002, 0, 0, 0]",120.96857765845562
60,60,60,0,178.21,0,0,0,"[60, 60, 60, 0, 178.21, 0, 0, 0]",121.0
