depth,height,width,yaw,pitch,roll,taper_width,taper_height,chromosome,fitness
60,125,125,0,1.0,0,0,0,"[60, 125, 125, 0, 1.0, 0, 0, 0]",92.63974717860842
60,125,125,0,2.79,0,0,0,"[60, 125, 125, 0, 2.79, 0, 0, 0]",92.73247134351925
60,125,125,0,4.58,0,0,0,"[60, 125, 125, 0, 4.58, 0, 0, 0]",92.7766998260206
60,125,125,0,6.37,0,0,0,"[60, 125, 125, 0, 6.37, 0, 0, 0]",92.91284180524266
60,125,125,0,8.16,0,0,0,"[60, 125, 125, 0, 8.16, 0, 0, 0]",93.00521409511428
60,125,125,0,9.95,0,0,0,"[60, 125, 125, 0, 9.95, 0, 0, 0]",93.27138244820395
60,125,125,0,11.74,0,0,0,"[60, 125, 125, 0, 11.74, 0, 0, 0]",93.39472796303164
60,125,125,0,13.530000000000001,0,0,0,"[60, 125, 125, 0, 13.530000000000001, 0, 0, 0]",93.77547954578698
60,125,125,0,15.32,0,0,0,"[60, 125, 125, 0, 15.32, 0, 0, 0]",93.96626502848207
60,125,125,0,17.11,0,0,0,"[60, 125, 125, 0, 17.11, 0, 0, 0]",94.26404381987109
60,125,125,0,18.9,0,0,0,"[60, 125, 125, 0, 18.9, 0, 0, 0]",94.62009902891285
60,125,125,0,20.69,0,0,0,"[60, 125, 125, 0, 20.69, 0, 0, 0]",94.92165654841028
60,125,125,0,22.48,0,0,0,"[60, 125, 125, 0, 22.48, 0, 0, 0]",95.29596365312841
60,125,125,0,24.27,0,0,0,"[60, 125, 125, 0, 24.27, 0, 0, 0]",95.63413201316878
60,125,125,0,26.060000000000002,0,0,0,"[60, 125, 125, 0, 26.060000000000002, 0, 0, 0]",96.03246541734211
60,125,125,0,27.85,0,0,0,"[60, 125, 125, 0, 27.85, 0, 0, 0]",96.30925646147784
60,125,125,0,29.64,0,0,0,"[60, 125, 125, 0, 29.64, 0, 0, 0]",96.6536026537567
60,125,125,0,31.43,0,0,0,"[60, 125, 125, 0, 31.43, 0, 0, 0]",96.96009901372005
60,125,125,0,33.22,0,0,0,"[60, 125, 125, 0, 33.22, 0, 0, 0]",97.25684927419366
60,125,125,0,35.01,0,0,0,"[60, 125, 125, 0, 35.01, 0, 0, 0]",97.53180012508412
60,125,125,0,36.8,0,0,0,"[60, 125, 125, 0, 36.8, 0, 0, 0]",97.79153778158732
60,125,125,0,38.59,0,0,0,"[60, 125, 125, 0, 38.59, 0, 0, 0]",98.00961991073851
60,125,125,0,40.38,0,0,0,"[60, 125, 125, 0, 40.38, 0, 0, 0]",98.23553777551604
60,125,125,0,42.17,0,0,0,"[60, 125, 125, 0, 42.17, 0, 0, 0]",98.40928380858847
60,125,125,0,43.96,0,0,0,"[60, 125, 125, 0, 43.96, 0, 0, 0]",98.63475400523541
60,125,125,0,45.75,0,0,0,"[60, 125, 125, 0, 45.75, 0, 0, 0]",98.75771073382198
60,125,125,0,47.54,0,0,0,"[60, 125, 125, 0, 47.54, 0, 0, 0]",98.80803755295804
60,125,125,0,49.33,0,0,0,"[60, 125, 125, 0, 49.33, 0, 0, 0]",98.88768300082802
60,125,125,0,51.120000000000005,0,0,0,"[60, 125, 125, 0, 51.120000000000005, 0, 0, 0]",99.03376606060951
60,125,125,0,52.910000000000004,0,0,0,"[60, 125, 125, 0, 52.910000000000004, 0, 0, 0]",99.0611273559352
60,125,125,0,54.7,0,0,0,"[60, 125, 125, 0, 54.7, 0, 0, 0]",99.06107729230787
60,125,125,0,56.49,0,0,0,"[60, 125, 125, 0, 56.49, 0, 0, 0]",99.173408707077
60,125,125,0,58.28,0,0,0,"[60, 125, 125, 0, 58.28, 0, 0, 0]",99.24633010483386
60,125,125,0,60.07,0,0,0,"[60, 125, 125, 0, 60.07, 0, 0, 0]",99.22689679190756
60,125,125,0,61.86,0,0,0,"[60, 125, 125, 0, 61.86, 0, 0, 0]",99.29681255981197
60,125,125,0,63.65,0,0,0,"[60, 125, 125, 0, 63.65, 0, 0, 0]",99.374375390194
60,125,125,0,65.44,0,0,0,"[60, 125, 125, 0, 65.44, 0, 0, 0]",99.43160582067125
60,125,125,0,67.23,0,0,0,"[60, 125, 125, 0, 67.23, 0, 0, 0]",99.47861411075928
60,125,125,0,69.02,0,0,0,"[60, 125, 125, 0, 69.02, 0, 0, 0]",99.50110026702353
