depth,height,width,yaw,pitch,roll,taper_width,taper_height,chromosome,fitness
60,125,125,0,0,1.0,0,0,"[60, 125, 125, 0, 0, 1.0, 0, 0]",92.47856790413682
60,125,125,0,0,2.79,0,0,"[60, 125, 125, 0, 0, 2.79, 0, 0]",92.4448082549293
60,125,125,0,0,4.58,0,0,"[60, 125, 125, 0, 0, 4.58, 0, 0]",92.42236063419342
60,125,125,0,0,6.37,0,0,"[60, 125, 125, 0, 0, 6.37, 0, 0]",92.41418819863368
60,125,125,0,0,8.16,0,0,"[60, 125, 125, 0, 0, 8.16, 0, 0]",92.50584101092058
60,125,125,0,0,9.95,0,0,"[60, 125, 125, 0, 0, 9.95, 0, 0]",92.57932820693965
60,125,125,0,0,11.74,0,0,"[60, 125, 125, 0, 0, 11.74, 0, 0]",92.67385081882988
60,125,125,0,0,13.530000000000001,0,0,"[60, 125, 125, 0, 0, 13.530000000000001, 0, 0]",92.68531588402607
60,125,125,0,0,15.32,0,0,"[60, 125, 125, 0, 0, 15.32, 0, 0]",92.82245008526309
60,125,125,0,0,17.11,0,0,"[60, 125, 125, 0, 0, 17.11, 0, 0]",92.8438410655244
60,125,125,0,0,18.9,0,0,"[60, 125, 125, 0, 0, 18.9, 0, 0]",92.93673398225773
60,125,125,0,0,20.69,0,0,"[60, 125, 125, 0, 0, 20.69, 0, 0]",93.06542635130339
60,125,125,0,0,22.48,0,0,"[60, 125, 125, 0, 0, 22.48, 0, 0]",93.13938930945797
60,125,125,0,0,24.27,0,0,"[60, 125, 125, 0, 0, 24.27, 0, 0]",93.24870783771084
60,125,125,0,0,26.060000000000002,0,0,"[60, 125, 125, 0, 0, 26.060000000000002, 0, 0]",93.37904675695492
60,125,125,0,0,27.85,0,0,"[60, 125, 125, 0, 0, 27.85, 0, 0]",93.41883823778966
60,125,125,0,0,29.64,0,0,"[60, 125, 125, 0, 0, 29.64, 0, 0]",93.50761181266373
60,125,125,0,0,31.43,0,0,"[60, 125, 125, 0, 0, 31.43, 0, 0]",93.56990192225825
60,125,125,0,0,33.22,0,0,"[60, 125, 125, 0, 0, 33.22, 0, 0]",93.6250858426915
60,125,125,0,0,35.01,0,0,"[60, 125, 125, 0, 0, 35.01, 0, 0]",93.69048906185724
60,125,125,0,0,36.8,0,0,"[60, 125, 125, 0, 0, 36.8, 0, 0]",93.73450846661459
60,125,125,0,0,38.59,0,0,"[60, 125, 125, 0, 0, 38.59, 0, 0]",93.77224492718295
60,125,125,0,0,40.38,0,0,"[60, 125, 125, 0, 0, 40.38, 0, 0]",93.81133093213623
60,125,125,0,0,42.17,0,0,"[60, 125, 125, 0, 0, 42.17, 0, 0]",93.8582316116024
60,125,125,0,0,43.96,0,0,"[60, 125, 125, 0, 0, 43.96, 0, 0]",93.91781089173777
60,125,125,0,0,45.75,0,0,"[60, 125, 125, 0, 0, 45.75, 0, 0]",93.87824946054016
60,125,125,0,0,47.54,0,0,"[60, 125, 125, 0, 0, 47.54, 0, 0]",93.83487911922754
60,125,125,0,0,49.33,0,0,"[60, 125, 125, 0, 0, 49.33, 0, 0]",93.83418364068952
60,125,125,0,0,51.120000000000005,0,0,"[60, 125, 125, 0, 0, 51.120000000000005, 0, 0]",93.7791581206398
60,125,125,0,0,52.910000000000004,0,0,"[60, 125, 125, 0, 0, 52.910000000000004, 0, 0]",93.73798080210858
60,125,125,0,0,54.7,0,0,"[60, 125, 125, 0, 0, 54.7, 0, 0]",93.71068950799197
60,125,125,0,0,56.49,0,0,"[60, 125, 125, 0, 0, 56.49, 0, 0]",93.63570300080477
60,125,125,0,0,58.28,0,0,"[60, 125, 125, 0, 0, 58.28, 0, 0]",93.59497625768068
60,125,125,0,0,60.07,0,0,"[60, 125, 125, 0, 0, 60.07, 0, 0]",93.49027727260983
60,125,125,0,0,61.86,0,0,"[60, 125, 125, 0, 0, 61.86, 0, 0]",93.44622074112866
60,125,125,0,0,63.65,0,0,"[60, 125, 125, 0, 0, 63.65, 0, 0]",93.37791697220257
60,125,125,0,0,65.44,0,0,"[60, 125, 125, 0, 0, 65.44, 0, 0]",93.26523337242253
60,125,125,0,0,67.23,0,0,"[60, 125, 125, 0, 0, 67.23, 0, 0]",93.18419533706623
60,125,125,0,0,69.02,0,0,"[60, 125, 125, 0, 0, 69.02, 0, 0]",93.07298811921217
60,125,125,0,0,70.81,0,0,"[60, 125, 125, 0, 0, 70.81, 0, 0]",92.98456957409695
60,125,125,0,0,72.6,0,0,"[60, 125, 125, 0, 0, 72.6, 0, 0]",92.85513332143458
60,125,125,0,0,74.39,0,0,"[60, 125, 125, 0, 0, 74.39, 0, 0]",92.84618031733547
60,125,125,0,0,76.18,0,0,"[60, 125, 125, 0, 0, 76.18, 0, 0]",92.7415445577972
60,125,125,0,0,77.97,0,0,"[60, 125, 125, 0, 0, 77.97, 0, 0]",92.59225277125813
60,125,125,0,0,79.76,0,0,"[60, 125, 125, 0, 0, 79.76, 0, 0]",92.58388821163909
60,125,125,0,0,81.55,0,0,"[60, 125, 125, 0, 0, 81.55, 0, 0]",92.58139440835315
60,125,125,0,0,83.34,0,0,"[60, 125, 125, 0, 0, 83.34, 0, 0]",92.48724361569899
60,125,125,0,0,85.13,0,0,"[60, 125, 125, 0, 0, 85.13, 0, 0]",92.42175045391792
60,125,125,0,0,86.92,0,0,"[60, 125, 125, 0, 0, 86.92, 0, 0]",92.44326282185635
60,125,125,0,0,88.71000000000001,0,0,"[60, 125, 125, 0, 0, 88.71000000000001, 0, 0]",92.47878398319895
60,125,125,0,0,90.5,0,0,"[60, 125, 125, 0, 0, 90.5, 0, 0]",92.47989933842857
60,125,125,0,0,92.29,0,0,"[60, 125, 125, 0, 0, 92.29, 0, 0]",92.52074386718726
60,125,125,0,0,94.08,0,0,"[60, 125, 125, 0, 0, 94.08, 0, 0]",92.48325958943212
60,125,125,0,0,95.87,0,0,"[60, 125, 125, 0, 0, 95.87, 0, 0]",92.49219110195071
60,125,125,0,0,97.66,0,0,"[60, 125, 125, 0, 0, 97.66, 0, 0]",92.49282664906258
60,125,125,0,0,99.45,0,0,"[60, 125, 125, 0, 0, 99.45, 0, 0]",92.57139406295417
60,125,125,0,0,101.24000000000001,0,0,"[60, 125, 125, 0, 0, 101.24000000000001, 0, 0]",92.59921917860018
60,125,125,0,0,103.03,0,0,"[60, 125, 125, 0, 0, 103.03, 0, 0]",92.68640749710002
60,125,125,0,0,104.82000000000001,0,0,"[60, 125, 125, 0, 0, 104.82000000000001, 0, 0]",92.75870871232203
60,125,125,0,0,106.61,0,0,"[60, 125, 125, 0, 0, 106.61, 0, 0]",92.85312586907436
60,125,125,0,0,108.4,0,0,"[60, 125, 125, 0, 0, 108.4, 0, 0]",93.01003076456817
60,125,125,0,0,110.19,0,0,"[60, 125, 125, 0, 0, 110.19, 0, 0]",93.00259508501767
60,125,125,0,0,111.98,0,0,"[60, 125, 125, 0, 0, 111.98, 0, 0]",93.11687126945098
60,125,125,0,0,113.77,0,0,"[60, 125, 125, 0, 0, 113.77, 0, 0]",93.20041160219375
60,125,125,0,0,115.56,0,0,"[60, 125, 125, 0, 0, 115.56, 0, 0]",93.31020270802945
60,125,125,0,0,117.35000000000001,0,0,"[60, 125, 125, 0, 0, 117.35000000000001, 0, 0]",93.43544529530162
60,125,125,0,0,119.14,0,0,"[60, 125, 125, 0, 0, 119.14, 0, 0]",93.49931743086972
60,125,125,0,0,120.93,0,0,"[60, 125, 125, 0, 0, 120.93, 0, 0]",93.55511113445584
60,125,125,0,0,122.72,0,0,"[60, 125, 125, 0, 0, 122.72, 0, 0]",93.58953263436047
60,125,125,0,0,124.51,0,0,"[60, 125, 125, 0, 0, 124.51, 0, 0]",93.68257814967501
60,125,125,0,0,126.3,0,0,"[60, 125, 125, 0, 0, 126.3, 0, 0]",93.7072466102939
60,125,125,0,0,128.09,0,0,"[60, 125, 125, 0, 0, 128.09, 0, 0]",93.75456900482212
60,125,125,0,0,129.88,0,0,"[60, 125, 125, 0, 0, 129.88, 0, 0]",93.8157644372969
60,125,125,0,0,131.67000000000002,0,0,"[60, 125, 125, 0, 0, 131.67000000000002, 0, 0]",93.81722593373084
60,125,125,0,0,133.46,0,0,"[60, 125, 125, 0, 0, 133.46, 0, 0]",93.86403037899603
60,125,125,0,0,135.25,0,0,"[60, 125, 125, 0, 0, 135.25, 0, 0]",93.8713023451144
60,125,125,0,0,137.04,0,0,"[60, 125, 125, 0, 0, 137.04, 0, 0]",93.8479014838272
60,125,125,0,0,138.83,0,0,"[60, 125, 125, 0, 0, 138.83, 0, 0]",93.79852178673987
60,125,125,0,0,140.62,0,0,"[60, 125, 125, 0, 0, 140.62, 0, 0]",93.79676560897686
60,125,125,0,0,142.41,0,0,"[60, 125, 125, 0, 0, 142.41, 0, 0]",93.7565494316112
60,125,125,0,0,144.2,0,0,"[60, 125, 125, 0, 0, 144.2, 0, 0]",93.68665839556387
60,125,125,0,0,145.99,0,0,"[60, 125, 125, 0, 0, 145.99, 0, 0]",93.65622937709145
60,125,125,0,0,147.78,0,0,"[60, 125, 125, 0, 0, 147.78, 0, 0]",93.61041771176207
60,125,125,0,0,149.57,0,0,"[60, 125, 125, 0, 0, 149.57, 0, 0]",93.51952495867383
60,125,125,0,0,151.36,0,0,"[60, 125, 125, 0, 0, 151.36, 0, 0]",93.46133037288253
60,125,125,0,0,153.15,0,0,"[60, 125, 125, 0, 0, 153.15, 0, 0]",93.3852155651389
60,125,125,0,0,154.94,0,0,"[60, 125, 125, 0, 0, 154.94, 0, 0]",93.25812430745856
60,125,125,0,0,156.73,0,0,"[60, 125, 125, 0, 0, 156.73, 0, 0]",93.20739115269939
60,125,125,0,0,158.52,0,0,"[60, 125, 125, 0, 0, 158.52, 0, 0]",93.1238145461686
60,125,125,0,0,160.31,0,0,"[60, 125, 125, 0, 0, 160.31, 0, 0]",93.0108348490936
60,125,125,0,0,162.1,0,0,"[60, 125, 125, 0, 0, 162.1, 0, 0]",92.92940103774262
60,125,125,0,0,163.89000000000001,0,0,"[60, 125, 125, 0, 0, 163.89000000000001, 0, 0]",92.8240941166363
60,125,125,0,0,165.68,0,0,"[60, 125, 125, 0, 0, 165.68, 0, 0]",92.77659988713354
60,125,125,0,0,167.47,0,0,"[60, 125, 125, 0, 0, 167.47, 0, 0]",92.66122692383333
